,,,,All Type of Report (All Grades) for 01-Jan-2023 to 31-Dec-2025,,,
Andhra Pradesh,Vegetables,Tomato,March-2023,1945.26,Metric Tonnes,958.79,Rs./Quintal
Andhra Pradesh,Vegetables,Onion,April-2023,688.30,Metric Tonnes,643.88,Rs./Quintal
Andhra Pradesh,Vegetables,Potato,April-2023,2.74,Metric Tonnes,1215.33,Rs./Quintal
Andhra Pradesh,Vegetables,Tomato,April-2023,9868.86,Metric Tonnes,680.35,Rs./Quintal
Andhra Pradesh,Vegetables,Onion,May-2023,35.00,Metric Tonnes,725.57,Rs./Quintal
Andhra Pradesh,Vegetables,Potato,May-2023,8.58,Metric Tonnes,1500.00,Rs./Quintal
Andhra Pradesh,Vegetables,Tomato,May-2023,39917.45,Metric Tonnes,1045.65,Rs./Quintal
Andhra Pradesh,Vegetables,Onion,June-2023,25.40,Metric Tonnes,1462.46,Rs./Quintal
Andhra Pradesh,Vegetables,Tomato,June-2023,55659.38,Metric Tonnes,3227.73,Rs./Quintal
Andhra Pradesh,Vegetables,Tomato,July-2023,17654.00,Metric Tonnes,11144.07,Rs./Quintal
Andhra Pradesh,Vegetables,Onion,August-2023,328.80,Metric Tonnes,2059.77,Rs./Quintal
Andhra Pradesh,Vegetables,Tomato,August-2023,4139.30,Metric Tonnes,3062.89,Rs./Quintal
Andhra Pradesh,Vegetables,Onion,September-2023,2869.40,Metric Tonnes,1891.89,Rs./Quintal
Andhra Pradesh,Vegetables,Tomato,September-2023,6501.99,Metric Tonnes,1113.60,Rs./Quintal
Andhra Pradesh,Vegetables,Onion,October-2023,5290.60,Metric Tonnes,2689.23,Rs./Quintal
Andhra Pradesh,Vegetables,Potato,October-2023,4.32,Metric Tonnes,1500.00,Rs./Quintal
Andhra Pradesh,Vegetables,Tomato,October-2023,8862.17,Metric Tonnes,1480.53,Rs./Quintal
Andhra Pradesh,Vegetables,Onion,November-2023,13257.20,Metric Tonnes,3353.05,Rs./Quintal
Andhra Pradesh,Vegetables,Potato,November-2023,9.10,Metric Tonnes,1500.00,Rs./Quintal
Andhra Pradesh,Vegetables,Tomato,November-2023,11412.57,Metric Tonnes,2362.62,Rs./Quintal
Andhra Pradesh,Vegetables,Onion,December-2023,7077.40,Metric Tonnes,2399.17,Rs./Quintal
Andhra Pradesh,Vegetables,Potato,December-2023,10.30,Metric Tonnes,1664.47,Rs./Quintal
Andhra Pradesh,Vegetables,Tomato,December-2023,9316.16,Metric Tonnes,1643.59,Rs./Quintal
Andhra Pradesh,Vegetables,Onion,January-2024,4236.40,Metric Tonnes,1134.85,Rs./Quintal
Andhra Pradesh,Vegetables,Potato,January-2024,0.80,Metric Tonnes,2000.00,Rs./Quintal
Andhra Pradesh,Vegetables,Tomato,January-2024,3221.82,Metric Tonnes,1755.90,Rs./Quintal
Andhra Pradesh,Vegetables,Onion,February-2024,3165.10,Metric Tonnes,1121.72,Rs./Quintal
Andhra Pradesh,Vegetables,Potato,February-2024,15.84,Metric Tonnes,1791.04,Rs./Quintal
Andhra Pradesh,Vegetables,Tomato,February-2024,3718.90,Metric Tonnes,1439.50,Rs./Quintal
Andhra Pradesh,Vegetables,Onion,March-2024,5706.80,Metric Tonnes,1170.15,Rs./Quintal
Andhra Pradesh,Vegetables,Potato,March-2024,16.95,Metric Tonnes,1943.60,Rs./Quintal
Andhra Pradesh,Vegetables,Tomato,March-2024,2561.97,Metric Tonnes,1394.46,Rs./Quintal
Andhra Pradesh,Vegetables,Onion,April-2024,1458.50,Metric Tonnes,1046.85,Rs./Quintal
Andhra Pradesh,Vegetables,Tomato,April-2024,9269.03,Metric Tonnes,1415.96,Rs./Quintal
Andhra Pradesh,Vegetables,Onion,May-2024,187.30,Metric Tonnes,1211.02,Rs./Quintal
Andhra Pradesh,Vegetables,Potato,May-2024,21.84,Metric Tonnes,2333.42,Rs./Quintal
Andhra Pradesh,Vegetables,Tomato,May-2024,38315.86,Metric Tonnes,2032.37,Rs./Quintal
Andhra Pradesh,Vegetables,Onion,June-2024,21.40,Metric Tonnes,3541.76,Rs./Quintal
Andhra Pradesh,Vegetables,Potato,June-2024,16.10,Metric Tonnes,2514.29,Rs./Quintal
Andhra Pradesh,Vegetables,Tomato,June-2024,39561.78,Metric Tonnes,4601.84,Rs./Quintal
Andhra Pradesh,Vegetables,Onion,July-2024,54.60,Metric Tonnes,3597.39,Rs./Quintal
Andhra Pradesh,Vegetables,Potato,July-2024,20.29,Metric Tonnes,2402.17,Rs./Quintal
Andhra Pradesh,Vegetables,Tomato,July-2024,54855.98,Metric Tonnes,4286.76,Rs./Quintal
Andhra Pradesh,Vegetables,Onion,August-2024,102.20,Metric Tonnes,3506.34,Rs./Quintal
Andhra Pradesh,Vegetables,Potato,August-2024,22.73,Metric Tonnes,2401.01,Rs./Quintal
Andhra Pradesh,Vegetables,Tomato,August-2024,34465.30,Metric Tonnes,2329.41,Rs./Quintal
Andhra Pradesh,Vegetables,Onion,September-2024,24.00,Metric Tonnes,4829.17,Rs./Quintal
Andhra Pradesh,Vegetables,Potato,September-2024,18.30,Metric Tonnes,2790.71,Rs./Quintal
Andhra Pradesh,Vegetables,Tomato,September-2024,19117.60,Metric Tonnes,3395.41,Rs./Quintal
Andhra Pradesh,Vegetables,Onion,October-2024,23.00,Metric Tonnes,4473.91,Rs./Quintal
Andhra Pradesh,Vegetables,Potato,October-2024,18.52,Metric Tonnes,3136.34,Rs./Quintal
Andhra Pradesh,Vegetables,Tomato,October-2024,21198.24,Metric Tonnes,5166.38,Rs./Quintal
Andhra Pradesh,Vegetables,Onion,November-2024,972.90,Metric Tonnes,3532.69,Rs./Quintal
Andhra Pradesh,Vegetables,Potato,November-2024,24.70,Metric Tonnes,2874.49,Rs./Quintal
Andhra Pradesh,Vegetables,Tomato,November-2024,19402.43,Metric Tonnes,2887.72,Rs./Quintal
Andhra Pradesh,Vegetables,Onion,December-2024,1662.00,Metric Tonnes,2933.84,Rs./Quintal
Andhra Pradesh,Vegetables,Potato,December-2024,18.96,Metric Tonnes,2500.00,Rs./Quintal
Andhra Pradesh,Vegetables,Tomato,December-2024,10812.13,Metric Tonnes,2202.20,Rs./Quintal
Andhra Pradesh,Vegetables,Onion,January-2025,1610.60,Metric Tonnes,1916.28,Rs./Quintal
Andhra Pradesh,Vegetables,Potato,January-2025,7.82,Metric Tonnes,2500.00,Rs./Quintal
Andhra Pradesh,Vegetables,Tomato,January-2025,5703.94,Metric Tonnes,1391.35,Rs./Quintal
Andhra Pradesh,Vegetables,Onion,February-2025,3867.00,Metric Tonnes,1952.86,Rs./Quintal
Andhra Pradesh,Vegetables,Potato,February-2025,30.08,Metric Tonnes,1944.15,Rs./Quintal
Andhra Pradesh,Vegetables,Tomato,February-2025,5706.85,Metric Tonnes,1392.65,Rs./Quintal
Andhra Pradesh,Vegetables,Onion,March-2025,3813.20,Metric Tonnes,1310.81,Rs./Quintal
Andhra Pradesh,Vegetables,Potato,March-2025,38.00,Metric Tonnes,1592.26,Rs./Quintal
Andhra Pradesh,Vegetables,Tomato,March-2025,7925.22,Metric Tonnes,1033.15,Rs./Quintal
Andhra Pradesh,Vegetables,Onion,April-2025,1706.00,Metric Tonnes,890.56,Rs./Quintal
Andhra Pradesh,Vegetables,Potato,April-2025,50.77,Metric Tonnes,1222.12,Rs./Quintal
Andhra Pradesh,Vegetables,Tomato,April-2025,27117.64,Metric Tonnes,1017.09,Rs./Quintal
Andhra Pradesh,Vegetables,Onion,May-2025,249.80,Metric Tonnes,868.66,Rs./Quintal
Andhra Pradesh,Vegetables,Potato,May-2025,48.42,Metric Tonnes,1554.23,Rs./Quintal
Andhra Pradesh,Vegetables,Tomato,May-2025,78419.01,Metric Tonnes,849.95,Rs./Quintal
Andhra Pradesh,Vegetables,Onion,June-2025,16.90,Metric Tonnes,711.51,Rs./Quintal
Andhra Pradesh,Vegetables,Potato,June-2025,43.29,Metric Tonnes,1881.54,Rs./Quintal
Andhra Pradesh,Vegetables,Tomato,June-2025,92560.57,Metric Tonnes,1703.59,Rs./Quintal
Andhra Pradesh,Vegetables,Onion,July-2025,190.10,Metric Tonnes,1238.30,Rs./Quintal
Andhra Pradesh,Vegetables,Potato,July-2025,46.88,Metric Tonnes,1518.90,Rs./Quintal
Andhra Pradesh,Vegetables,Tomato,July-2025,65080.23,Metric Tonnes,2717.70,Rs./Quintal
Andhra Pradesh,Vegetables,Onion,August-2025,3898.90,Metric Tonnes,953.27,Rs./Quintal
Andhra Pradesh,Vegetables,Potato,August-2025,32.88,Metric Tonnes,1549.21,Rs./Quintal
Andhra Pradesh,Vegetables,Tomato,August-2025,27900.41,Metric Tonnes,3395.69,Rs./Quintal
Andhra Pradesh,Vegetables,Onion,September-2025,7060.50,Metric Tonnes,662.14,Rs./Quintal
Andhra Pradesh,Vegetables,Potato,September-2025,33.80,Metric Tonnes,1571.89,Rs./Quintal
Andhra Pradesh,Vegetables,Tomato,September-2025,34969.90,Metric Tonnes,1860.33,Rs./Quintal
Andhra Pradesh,Vegetables,Onion,October-2025,2844.30,Metric Tonnes,614.72,Rs./Quintal
Andhra Pradesh,Vegetables,Potato,October-2025,27.73,Metric Tonnes,1758.71,Rs./Quintal
Andhra Pradesh,Vegetables,Tomato,October-2025,22005.26,Metric Tonnes,1944.91,Rs./Quintal
Andhra Pradesh,Vegetables,Onion,November-2025,5047.60,Metric Tonnes,640.04,Rs./Quintal
Andhra Pradesh,Vegetables,Potato,November-2025,37.47,Metric Tonnes,2202.72,Rs./Quintal
Andhra Pradesh,Vegetables,Tomato,November-2025,22907.55,Metric Tonnes,1863.93,Rs./Quintal
Andhra Pradesh,Vegetables,Onion,December-2025,4601.90,Metric Tonnes,1283.42,Rs./Quintal
Andhra Pradesh,Vegetables,Potato,December-2025,40.22,Metric Tonnes,1905.26,Rs./Quintal
Andhra Pradesh,Vegetables,Tomato,December-2025,12423.61,Metric Tonnes,3395.02,Rs./Quintal
Assam,Vegetables,Onion,April-2023,117.00,Metric Tonnes,1400.00,Rs./Quintal
Assam,Vegetables,Potato,April-2023,211.00,Metric Tonnes,1482.94,Rs./Quintal
Assam,Vegetables,Tomato,April-2023,41.50,Metric Tonnes,1572.29,Rs./Quintal
Assam,Vegetables,Onion,May-2023,444.10,Metric Tonnes,1864.29,Rs./Quintal
Assam,Vegetables,Potato,May-2023,466.00,Metric Tonnes,1598.82,Rs./Quintal
Assam,Vegetables,Tomato,May-2023,147.00,Metric Tonnes,1510.88,Rs./Quintal
Assam,Vegetables,Onion,June-2023,162.00,Metric Tonnes,1988.58,Rs./Quintal
Assam,Vegetables,Potato,June-2023,179.00,Metric Tonnes,1767.88,Rs./Quintal
Assam,Vegetables,Tomato,June-2023,20.00,Metric Tonnes,8100.00,Rs./Quintal
Assam,Vegetables,Onion,July-2023,310.00,Metric Tonnes,2413.01,Rs./Quintal
Assam,Vegetables,Potato,July-2023,368.50,Metric Tonnes,1769.27,Rs./Quintal
Assam,Vegetables,Tomato,July-2023,85.00,Metric Tonnes,6500.00,Rs./Quintal
Assam,Vegetables,Onion,December-2023,222.00,Metric Tonnes,4592.79,Rs./Quintal
Assam,Vegetables,Potato,December-2023,231.00,Metric Tonnes,1832.18,Rs./Quintal
Assam,Vegetables,Tomato,December-2023,86.00,Metric Tonnes,3640.70,Rs./Quintal
Assam,Vegetables,Potato,September-2024,294.00,Metric Tonnes,3416.67,Rs./Quintal
Assam,Vegetables,Tomato,September-2024,1146.70,Metric Tonnes,3620.89,Rs./Quintal
Assam,Vegetables,Potato,October-2024,20.00,Metric Tonnes,3900.00,Rs./Quintal
Assam,Vegetables,Tomato,October-2024,1064.30,Metric Tonnes,3846.02,Rs./Quintal
Assam,Vegetables,Tomato,November-2024,1483.20,Metric Tonnes,3503.71,Rs./Quintal
Assam,Vegetables,Potato,December-2024,86.00,Metric Tonnes,2581.40,Rs./Quintal
Assam,Vegetables,Tomato,December-2024,2034.70,Metric Tonnes,3309.83,Rs./Quintal
Assam,Vegetables,Potato,January-2025,348.00,Metric Tonnes,1437.07,Rs./Quintal
Assam,Vegetables,Tomato,January-2025,3009.20,Metric Tonnes,1369.58,Rs./Quintal
Assam,Vegetables,Potato,February-2025,452.00,Metric Tonnes,1147.23,Rs./Quintal
Assam,Vegetables,Tomato,February-2025,2482.60,Metric Tonnes,715.41,Rs./Quintal
Assam,Vegetables,Potato,March-2025,394.00,Metric Tonnes,1146.70,Rs./Quintal
Assam,Vegetables,Tomato,March-2025,2599.10,Metric Tonnes,616.36,Rs./Quintal
Assam,Vegetables,Potato,April-2025,349.00,Metric Tonnes,1105.73,Rs./Quintal
Assam,Vegetables,Tomato,April-2025,2185.40,Metric Tonnes,672.65,Rs./Quintal
Assam,Vegetables,Potato,May-2025,59.00,Metric Tonnes,1100.00,Rs./Quintal
Assam,Vegetables,Tomato,May-2025,1523.60,Metric Tonnes,1640.88,Rs./Quintal
Assam,Vegetables,Tomato,June-2025,1423.80,Metric Tonnes,3057.42,Rs./Quintal
Assam,Vegetables,Tomato,July-2025,1766.80,Metric Tonnes,2537.71,Rs./Quintal
Assam,Vegetables,Tomato,August-2025,1212.90,Metric Tonnes,2943.23,Rs./Quintal
Assam,Vegetables,Onion,December-2025,3650.90,Metric Tonnes,2840.43,Rs./Quintal
Assam,Vegetables,Potato,December-2025,5613.30,Metric Tonnes,1422.95,Rs./Quintal
Assam,Vegetables,Tomato,December-2025,1703.10,Metric Tonnes,3281.56,Rs./Quintal
Bihar,Vegetables,Onion,January-2023,26357.60,Metric Tonnes,1936.90,Rs./Quintal
Bihar,Vegetables,Potato,January-2023,60160.18,Metric Tonnes,1359.75,Rs./Quintal
Bihar,Vegetables,Tomato,January-2023,5183.53,Metric Tonnes,1022.06,Rs./Quintal
Bihar,Vegetables,Onion,February-2023,21896.15,Metric Tonnes,1621.65,Rs./Quintal
Bihar,Vegetables,Potato,February-2023,33239.17,Metric Tonnes,952.95,Rs./Quintal
Bihar,Vegetables,Tomato,February-2023,4078.56,Metric Tonnes,868.25,Rs./Quintal
Bihar,Vegetables,Onion,March-2023,10458.90,Metric Tonnes,1362.79,Rs./Quintal
Bihar,Vegetables,Potato,March-2023,14281.72,Metric Tonnes,695.29,Rs./Quintal
Bihar,Vegetables,Tomato,March-2023,1221.50,Metric Tonnes,1222.77,Rs./Quintal
Bihar,Vegetables,Onion,April-2023,10213.20,Metric Tonnes,1208.73,Rs./Quintal
Bihar,Vegetables,Potato,April-2023,10984.85,Metric Tonnes,943.45,Rs./Quintal
Bihar,Vegetables,Tomato,April-2023,997.54,Metric Tonnes,1160.96,Rs./Quintal
Bihar,Vegetables,Onion,May-2023,8794.66,Metric Tonnes,1316.77,Rs./Quintal
Bihar,Vegetables,Potato,May-2023,7488.35,Metric Tonnes,1197.36,Rs./Quintal
Bihar,Vegetables,Tomato,May-2023,768.11,Metric Tonnes,1306.09,Rs./Quintal
Bihar,Vegetables,Onion,June-2023,1370.73,Metric Tonnes,1272.10,Rs./Quintal
Bihar,Vegetables,Potato,June-2023,895.47,Metric Tonnes,1186.13,Rs./Quintal
Bihar,Vegetables,Tomato,June-2023,66.84,Metric Tonnes,1631.42,Rs./Quintal
Bihar,Vegetables,Onion,July-2023,26.90,Metric Tonnes,1952.79,Rs./Quintal
Bihar,Vegetables,Potato,July-2023,18.30,Metric Tonnes,1771.58,Rs./Quintal
Bihar,Vegetables,Tomato,July-2023,1.30,Metric Tonnes,8346.15,Rs./Quintal
Bihar,Vegetables,Onion,August-2023,1318.45,Metric Tonnes,2462.16,Rs./Quintal
Bihar,Vegetables,Potato,August-2023,12365.88,Metric Tonnes,1378.40,Rs./Quintal
Bihar,Vegetables,Onion,September-2023,2496.10,Metric Tonnes,2742.52,Rs./Quintal
Bihar,Vegetables,Potato,September-2023,11817.50,Metric Tonnes,1276.10,Rs./Quintal
Bihar,Vegetables,Onion,October-2023,1777.87,Metric Tonnes,4322.96,Rs./Quintal
Bihar,Vegetables,Potato,October-2023,8805.60,Metric Tonnes,1204.71,Rs./Quintal
Bihar,Vegetables,Onion,November-2023,1859.00,Metric Tonnes,10674.75,Rs./Quintal
Bihar,Vegetables,Potato,November-2023,7199.10,Metric Tonnes,1236.19,Rs./Quintal
Bihar,Vegetables,Onion,December-2023,2615.99,Metric Tonnes,6103.03,Rs./Quintal
Bihar,Vegetables,Potato,December-2023,10393.70,Metric Tonnes,1209.97,Rs./Quintal
Bihar,Vegetables,Onion,January-2024,2348.65,Metric Tonnes,3349.56,Rs./Quintal
Bihar,Vegetables,Potato,January-2024,10545.11,Metric Tonnes,965.44,Rs./Quintal
Bihar,Vegetables,Onion,February-2024,2201.00,Metric Tonnes,3553.42,Rs./Quintal
Bihar,Vegetables,Potato,February-2024,13289.96,Metric Tonnes,989.56,Rs./Quintal
Bihar,Vegetables,Onion,March-2024,1000.13,Metric Tonnes,2364.41,Rs./Quintal
Bihar,Vegetables,Potato,March-2024,4654.80,Metric Tonnes,1277.68,Rs./Quintal
Bihar,Vegetables,Onion,April-2024,1171.00,Metric Tonnes,2261.82,Rs./Quintal
Bihar,Vegetables,Potato,April-2024,4584.80,Metric Tonnes,1681.87,Rs./Quintal
Bihar,Vegetables,Onion,May-2024,2583.20,Metric Tonnes,2251.22,Rs./Quintal
Bihar,Vegetables,Potato,May-2024,8504.61,Metric Tonnes,2192.99,Rs./Quintal
Bihar,Vegetables,Onion,June-2024,2356.29,Metric Tonnes,2780.86,Rs./Quintal
Bihar,Vegetables,Potato,June-2024,9644.55,Metric Tonnes,2403.09,Rs./Quintal
Bihar,Vegetables,Onion,July-2024,2629.50,Metric Tonnes,3783.44,Rs./Quintal
Bihar,Vegetables,Potato,July-2024,8272.91,Metric Tonnes,2656.66,Rs./Quintal
Bihar,Vegetables,Onion,August-2024,1122.30,Metric Tonnes,3979.11,Rs./Quintal
Bihar,Vegetables,Potato,August-2024,4263.11,Metric Tonnes,2639.81,Rs./Quintal
Bihar,Vegetables,Onion,September-2024,2306.68,Metric Tonnes,4797.64,Rs./Quintal
Bihar,Vegetables,Potato,September-2024,9866.39,Metric Tonnes,2695.95,Rs./Quintal
Bihar,Vegetables,Onion,October-2024,2204.64,Metric Tonnes,4829.25,Rs./Quintal
Bihar,Vegetables,Potato,October-2024,8575.16,Metric Tonnes,2694.77,Rs./Quintal
Bihar,Vegetables,Onion,November-2024,1721.11,Metric Tonnes,5214.40,Rs./Quintal
Bihar,Vegetables,Potato,November-2024,6920.92,Metric Tonnes,2593.97,Rs./Quintal
Bihar,Vegetables,Onion,December-2024,1937.40,Metric Tonnes,4577.76,Rs./Quintal
Bihar,Vegetables,Potato,December-2024,7375.71,Metric Tonnes,2373.86,Rs./Quintal
Bihar,Vegetables,Onion,January-2025,1677.16,Metric Tonnes,3110.39,Rs./Quintal
Bihar,Vegetables,Potato,January-2025,6324.88,Metric Tonnes,1756.17,Rs./Quintal
Bihar,Vegetables,Onion,February-2025,1909.90,Metric Tonnes,5062.33,Rs./Quintal
Bihar,Vegetables,Potato,February-2025,8324.05,Metric Tonnes,1356.03,Rs./Quintal
Bihar,Vegetables,Onion,March-2025,1360.27,Metric Tonnes,2861.06,Rs./Quintal
Bihar,Vegetables,Potato,March-2025,7145.26,Metric Tonnes,1145.08,Rs./Quintal
Bihar,Vegetables,Onion,April-2025,1062.28,Metric Tonnes,2300.65,Rs./Quintal
Bihar,Vegetables,Potato,April-2025,6695.58,Metric Tonnes,1120.00,Rs./Quintal
Bihar,Vegetables,Onion,May-2025,1082.51,Metric Tonnes,1702.70,Rs./Quintal
Bihar,Vegetables,Potato,May-2025,6897.35,Metric Tonnes,1216.09,Rs./Quintal
Bihar,Vegetables,Onion,June-2025,999.57,Metric Tonnes,1718.87,Rs./Quintal
Bihar,Vegetables,Potato,June-2025,5923.26,Metric Tonnes,1336.83,Rs./Quintal
Bihar,Vegetables,Onion,July-2025,514.03,Metric Tonnes,3264.78,Rs./Quintal
Bihar,Vegetables,Potato,July-2025,4979.70,Metric Tonnes,1384.53,Rs./Quintal
Bihar,Vegetables,Onion,August-2025,314.73,Metric Tonnes,2589.31,Rs./Quintal
Bihar,Vegetables,Potato,August-2025,3545.35,Metric Tonnes,1461.99,Rs./Quintal
Bihar,Vegetables,Onion,September-2025,217.70,Metric Tonnes,2536.36,Rs./Quintal
Bihar,Vegetables,Potato,September-2025,401.00,Metric Tonnes,1837.78,Rs./Quintal
Bihar,Vegetables,Onion,October-2025,505.21,Metric Tonnes,2109.34,Rs./Quintal
Bihar,Vegetables,Potato,October-2025,646.90,Metric Tonnes,1712.48,Rs./Quintal
Bihar,Vegetables,Onion,November-2025,475.00,Metric Tonnes,1924.91,Rs./Quintal
Bihar,Vegetables,Potato,November-2025,3081.33,Metric Tonnes,1612.26,Rs./Quintal
Bihar,Vegetables,Onion,December-2025,22306.00,Metric Tonnes,1798.80,Rs./Quintal
Bihar,Vegetables,Potato,December-2025,62778.33,Metric Tonnes,1500.11,Rs./Quintal
Chandigarh,Vegetables,Onion,January-2023,2753.44,Metric Tonnes,1475.72,Rs./Quintal
Chandigarh,Vegetables,Potato,January-2023,2526.70,Metric Tonnes,453.20,Rs./Quintal
Chandigarh,Vegetables,Tomato,January-2023,1681.74,Metric Tonnes,967.13,Rs./Quintal
Chandigarh,Vegetables,Onion,February-2023,2661.84,Metric Tonnes,1142.75,Rs./Quintal
Chandigarh,Vegetables,Potato,February-2023,2865.25,Metric Tonnes,300.00,Rs./Quintal
Chandigarh,Vegetables,Tomato,February-2023,1196.50,Metric Tonnes,876.92,Rs./Quintal
Chandigarh,Vegetables,Onion,March-2023,1154.00,Metric Tonnes,1184.83,Rs./Quintal
Chandigarh,Vegetables,Potato,March-2023,1368.95,Metric Tonnes,300.00,Rs./Quintal
Chandigarh,Vegetables,Tomato,March-2023,542.15,Metric Tonnes,977.36,Rs./Quintal
Chandigarh,Vegetables,Onion,April-2023,3963.92,Metric Tonnes,1006.90,Rs./Quintal
Chandigarh,Vegetables,Potato,April-2023,3093.10,Metric Tonnes,429.87,Rs./Quintal
Chandigarh,Vegetables,Tomato,April-2023,2259.56,Metric Tonnes,960.03,Rs./Quintal
Chandigarh,Vegetables,Onion,May-2023,4713.96,Metric Tonnes,990.31,Rs./Quintal
Chandigarh,Vegetables,Potato,May-2023,3004.80,Metric Tonnes,549.71,Rs./Quintal
Chandigarh,Vegetables,Tomato,May-2023,2128.08,Metric Tonnes,745.24,Rs./Quintal
Chandigarh,Vegetables,Onion,June-2023,3825.84,Metric Tonnes,1100.84,Rs./Quintal
Chandigarh,Vegetables,Potato,June-2023,5038.05,Metric Tonnes,1091.84,Rs./Quintal
Chandigarh,Vegetables,Tomato,June-2023,2254.06,Metric Tonnes,1700.21,Rs./Quintal
Chandigarh,Vegetables,Onion,July-2023,4518.66,Metric Tonnes,1399.99,Rs./Quintal
Chandigarh,Vegetables,Potato,July-2023,3551.05,Metric Tonnes,1223.74,Rs./Quintal
Chandigarh,Vegetables,Tomato,July-2023,652.79,Metric Tonnes,7549.37,Rs./Quintal
Chandigarh,Vegetables,Onion,August-2023,4460.28,Metric Tonnes,1763.31,Rs./Quintal
