plot_id,farmer_id,region_id,area_ha,soil_group,soil_suitability_class,drainage_class,irrigation_access,available_water_m3,previous_crop,rotation_group,flood_exposure,drought_exposure,waterlogging_exposure,hazard_zone,active_season,synthetic_seed,synthetic
F0029-P01,F0029,R4,0.358,red,S2,well,canal,1468.4,cotton,fibre,low,moderate,moderate,R4-HZ1,kharif,1405930543,True
F0029-P02,F0029,R4,1.463,red,S2,poor,rainfed,1661.8,,,low,high,high,R4-HZ2,kharif,1542168226,True
F0029-P03,F0029,R4,0.98,red,S2,well,rainfed,1129.7,,,none,moderate,moderate,R4-HZ3,kharif,1890398683,True
F0030-P01,F0030,R1,0.551,sandy,S3,well,tubewell,2560.6,rice,cereal,none,low,moderate,R1-HZ1,kharif,620176021,True
F0030-P02,F0030,R1,0.268,alluvial,S3,well,canal,1527.5,rice,cereal,none,none,none,R1-HZ2,kharif,534243702,True
F0030-P03,F0030,R1,0.275,alluvial,S2,well,canal,1879.9,maize,cereal,high,none,moderate,R1-HZ3,kharif,1795901508,True
F0031-P01,F0031,R5,0.326,laterite,S2,well,rainfed,426.3,pigeon_pea,legume,low,low,low,R5-HZ1,kharif,627870978,True
F0031-P02,F0031,R5,0.524,red,S1,well,rainfed,758.0,rice,cereal,moderate,moderate,low,R5-HZ2,kharif,509861144,True
F0031-P03,F0031,R5,0.85,laterite,S1,moderate,rainfed,1425.0,groundnut,legume,none,moderate,none,R5-HZ3,kharif,680444499,True
F0032-P01,F0032,R2,0.414,black,S3,poor,canal,1705.8,groundnut,legume,moderate,none,moderate,R2-HZ1,kharif,917524697,True
F0032-P02,F0032,R2,0.243,red,S2,well,rainfed,268.5,pigeon_pea,legume,low,none,low,R2-HZ2,kharif,1895513380,True
F0033-P01,F0033,R1,0.226,sandy,S2,well,tubewell,1198.4,cotton,fibre,moderate,low,low,R1-HZ1,kharif,88616381,True
F0034-P01,F0034,R2,0.881,red,S1,poor,rainfed,938.4,pigeon_pea,legume,moderate,low,high,R2-HZ1,kharif,1488832389,True
F0034-P02,F0034,R2,1.097,red,S2,poor,rainfed,1270.4,pigeon_pea,legume,moderate,none,moderate,R2-HZ2,kharif,1639024293,True
F0035-P01,F0035,R3,0.421,alluvial,S3,well,canal,3571.8,pigeon_pea,legume,high,none,none,R3-HZ1,kharif,1566430670,True
F0035-P02,F0035,R3,0.249,laterite,S3,moderate,canal,2083.1,groundnut,legume,high,none,low,R3-HZ2,kharif,1503607412,True
F0036-P01,F0036,R4,0.075,sandy,N,poor,rainfed,74.2,maize,cereal,none,moderate,high,R4-HZ1,kharif,301936834,True
F0036-P02,F0036,R4,0.2,red,S2,moderate,rainfed,207.5,rice,cereal,low,moderate,none,R4-HZ2,kharif,72521754,True
F0037-P01,F0037,R3,0.368,laterite,S1,well,rainfed,765.1,cotton,fibre,low,low,low,R3-HZ1,kharif,78947789,True
F0037-P02,F0037,R3,0.245,laterite,S1,well,rainfed,507.4,rice,cereal,high,low,low,R3-HZ2,kharif,961091006,True
F0038-P01,F0038,R5,0.754,laterite,S1,well,canal,4481.2,,,low,none,moderate,R5-HZ1,kharif,54579935,True
F0038-P02,F0038,R5,3.141,red,S1,moderate,tubewell,14069.8,maize,cereal,moderate,none,low,R5-HZ2,kharif,243222656,True
F0039-P01,F0039,R1,0.502,sandy,S2,moderate,canal,3061.7,pigeon_pea,legume,moderate,moderate,low,R1-HZ1,kharif,651612468,True
F0039-P02,F0039,R1,0.222,alluvial,S2,well,tubewell,1163.0,maize,cereal,low,none,moderate,R1-HZ2,kharif,440852992,True
F0040-P01,F0040,R2,0.197,black,S1,well,rainfed,183.8,maize,cereal,none,low,low,R2-HZ1,kharif,452204957,True
F0040-P02,F0040,R2,0.171,black,S3,moderate,rainfed,193.6,,,none,high,none,R2-HZ2,kharif,1780712719,True
F0040-P03,F0040,R2,1.949,black,S1,moderate,canal,8064.5,cotton,fibre,low,none,moderate,R2-HZ3,kharif,1953063070,True
F0041-P01,F0041,R4,0.042,sandy,S1,well,canal,191.2,pigeon_pea,legume,moderate,moderate,moderate,R4-HZ1,kharif,1395985533,True
F0041-P02,F0041,R4,0.249,sandy,S3,well,rainfed,260.9,rice,cereal,none,low,low,R4-HZ2,kharif,1765697355,True
F0042-P01,F0042,R1,0.315,alluvial,S2,moderate,canal,2115.5,groundnut,legume,moderate,moderate,low,R1-HZ1,kharif,109822670,True
F0043-P01,F0043,R2,0.269,black,S1,moderate,canal,1027.7,,,none,high,none,R2-HZ1,kharif,408738658,True
F0043-P02,F0043,R2,0.146,black,S1,poor,rainfed,152.5,cotton,fibre,low,moderate,low,R2-HZ2,kharif,1820317029,True
F0043-P03,F0043,R2,1.273,black,S1,well,rainfed,1432.8,groundnut,legume,low,low,moderate,R2-HZ3,kharif,1583508992,True
F0044-P01,F0044,R1,0.4,alluvial,S1,well,rainfed,661.4,maize,cereal,low,high,moderate,R1-HZ1,kharif,258535155,True
F0045-P01,F0045,R2,0.324,red,S2,well,canal,1458.0,groundnut,legume,moderate,low,low,R2-HZ1,kharif,1752727278,True
F0046-P01,F0046,R4,0.113,red,S3,well,rainfed,109.4,groundnut,legume,none,none,none,R4-HZ1,kharif,524502480,True
F0046-P02,F0046,R4,0.193,red,S3,well,rainfed,213.3,rice,cereal,moderate,high,none,R4-HZ2,kharif,1305806955,True
F0047-P01,F0047,R1,0.628,sandy,S2,well,rainfed,827.3,groundnut,legume,low,moderate,none,R1-HZ1,kharif,103526935,True
F0047-P02,F0047,R1,0.215,sandy,S3,moderate,canal,1375.8,rice,cereal,moderate,none,moderate,R1-HZ2,kharif,135388980,True
F0048-P01,F0048,R3,0.046,alluvial,S1,well,canal,323.3,groundnut,legume,low,none,low,R3-HZ1,kharif,861604568,True
F0048-P02,F0048,R3,0.162,laterite,S2,well,tubewell,1121.9,groundnut,legume,moderate,moderate,low,R3-HZ2,kharif,377652273,True
F0049-P01,F0049,R2,0.983,red,S3,moderate,canal,4558.0,pigeon_pea,legume,none,high,moderate,R2-HZ1,kharif,1552665506,True
F0050-P01,F0050,R5,0.848,red,S2,well,rainfed,1097.5,,,low,none,moderate,R5-HZ1,kharif,1565637513,True
F0050-P02,F0050,R5,0.052,laterite,S1,well,rainfed,70.8,rice,cereal,none,low,none,R5-HZ2,kharif,866774096,True
F0050-P03,F0050,R5,0.173,laterite,S1,well,tubewell,872.4,,,high,moderate,low,R5-HZ3,kharif,1927415672,True
F0051-P01,F0051,R5,0.675,red,S3,well,rainfed,975.5,,,moderate,none,none,R5-HZ1,kharif,1587040153,True
F0051-P02,F0051,R5,0.12,red,S2,poor,rainfed,201.1,maize,cereal,none,none,moderate,R5-HZ2,kharif,45675665,True
F0052-P01,F0052,R1,0.102,alluvial,S2,well,rainfed,139.6,pigeon_pea,legume,low,low,none,R1-HZ1,kharif,697975209,True
F0052-P02,F0052,R1,0.159,alluvial,S1,well,rainfed,241.4,pigeon_pea,legume,moderate,none,moderate,R1-HZ2,kharif,1720735319,True
F0053-P01,F0053,R2,0.619,black,S3,moderate,rainfed,726.8,cotton,fibre,none,low,moderate,R2-HZ1,kharif,570645664,True
F0054-P01,F0054,R2,0.457,black,S3,well,rainfed,446.6,groundnut,legume,none,none,low,R2-HZ1,kharif,768979218,True
F0054-P02,F0054,R2,2.398,black,N,well,rainfed,2852.3,maize,cereal,none,moderate,moderate,R2-HZ2,kharif,87492331,True
F0054-P03,F0054,R2,0.951,black,N,well,rainfed,889.3,pigeon_pea,legume,high,moderate,none,R2-HZ3,kharif,445977479,True
F0054-P04,F0054,R2,0.999,red,S2,moderate,rainfed,932.1,cotton,fibre,none,moderate,moderate,R2-HZ1,kharif,360513250,True
F0055-P01,F0055,R5,0.412,red,S2,well,rainfed,644.0,groundnut,legume,low,low,low,R5-HZ1,kharif,428524256,True
F0056-P01,F0056,R3,0.882,laterite,S1,moderate,tubewell,5060.3,rice,cereal,moderate,none,none,R3-HZ1,kharif,1470813159,True
F0056-P02,F0056,R3,0.087,laterite,S3,well,canal,677.9,maize,cereal,low,none,low,R3-HZ2,kharif,1108486917,True
F0057-P01,F0057,R4,0.23,sandy,S1,well,rainfed,217.4,rice,cereal,low,high,moderate,R4-HZ1,kharif,274004884,True
F0058-P01,F0058,R2,0.322,black,S3,well,rainfed,296.5,cotton,fibre,none,low,moderate,R2-HZ1,kharif,1834219074,True
F0059-P01,F0059,R3,0.735,alluvial,N,moderate,rainfed,1258.0,cotton,fibre,high,none,moderate,R3-HZ1,kharif,1374000577,True
F0060-P01,F0060,R4,0.952,sandy,S1,well,rainfed,1119.4,,,none,low,moderate,R4-HZ1,kharif,1992492829,True
F0061-P01,F0061,R3,0.238,alluvial,S1,moderate,rainfed,414.4,cotton,fibre,moderate,none,low,R3-HZ1,kharif,1955311202,True
F0062-P01,F0062,R5,0.598,red,S1,moderate,rainfed,1024.5,maize,cereal,none,none,none,R5-HZ1,kharif,1053439839,True
F0063-P01,F0063,R2,0.163,black,S3,well,rainfed,161.3,maize,cereal,none,none,moderate,R2-HZ1,kharif,1696736834,True
F0063-P02,F0063,R2,0.137,red,S3,poor,rainfed,151.6,groundnut,legume,none,high,high,R2-HZ2,kharif,1942318214,True
F0064-P01,F0064,R3,1.05,alluvial,S2,well,rainfed,1909.8,groundnut,legume,none,none,moderate,R3-HZ1,kharif,1872641716,True
F0064-P02,F0064,R3,2.003,alluvial,S1,moderate,rainfed,4025.5,maize,cereal,none,low,none,R3-HZ2,kharif,1524281944,True
F0065-P01,F0065,R4,0.745,sandy,S1,well,rainfed,797.6,maize,cereal,moderate,low,low,R4-HZ1,kharif,1943676,True
F0066-P01,F0066,R3,0.449,laterite,S1,poor,canal,3654.0,pigeon_pea,legume,low,low,high,R3-HZ1,kharif,88833999,True
F0066-P02,F0066,R3,0.093,alluvial,S1,well,tubewell,586.8,rice,cereal,low,moderate,moderate,R3-HZ2,kharif,375145179,True
F0067-P01,F0067,R3,0.615,alluvial,N,well,rainfed,1229.8,cotton,fibre,none,moderate,none,R3-HZ1,kharif,697001027,True
F0068-P01,F0068,R5,0.742,red,S1,well,tubewell,3845.5,cotton,fibre,low,high,moderate,R5-HZ1,kharif,237789216,True
F0068-P02,F0068,R5,0.722,red,S3,moderate,rainfed,996.4,maize,cereal,none,low,moderate,R5-HZ2,kharif,1532153925,True
F0068-P03,F0068,R5,0.125,red,S2,well,canal,817.4,maize,cereal,low,none,moderate,R5-HZ3,kharif,1258598500,True
F0069-P01,F0069,R3,1.124,alluvial,S2,moderate,canal,7879.2,cotton,fibre,moderate,moderate,low,R3-HZ1,kharif,1189257213,True
F0070-P01,F0070,R5,0.858,laterite,S2,poor,rainfed,1211.5,,,none,none,none,R5-HZ1,kharif,1275425731,True
F0071-P01,F0071,R1,1.634,sandy,S3,well,tubewell,8187.2,,,low,none,none,R1-HZ1,kharif,995936348,True
F0072-P01,F0072,R5,0.093,laterite,S2,well,rainfed,143.9,maize,cereal,none,low,low,R5-HZ1,kharif,1191346774,True
F0072-P02,F0072,R5,0.211,laterite,S2,moderate,canal,1438.8,pigeon_pea,legume,none,none,none,R5-HZ2,kharif,690829173,True
F0073-P01,F0073,R4,0.11,sandy,S3,well,canal,405.2,pigeon_pea,legume,low,none,low,R4-HZ1,kharif,1679499582,True
F0073-P02,F0073,R4,0.515,sandy,S2,well,tubewell,1599.7,,,none,moderate,low,R4-HZ2,kharif,142594984,True
F0074-P01,F0074,R3,0.093,laterite,S2,well,canal,704.5,pigeon_pea,legume,moderate,none,moderate,R3-HZ1,kharif,980075735,True
F0074-P02,F0074,R3,1.86,laterite,S3,moderate,canal,15934.3,,,low,none,low,R3-HZ2,kharif,639422992,True
F0075-P01,F0075,R1,0.919,alluvial,S2,well,tubewell,4877.9,cotton,fibre,none,none,none,R1-HZ1,kharif,594833535,True
F0076-P01,F0076,R2,0.895,black,S2,well,rainfed,861.5,cotton,fibre,none,low,moderate,R2-HZ1,kharif,849957602,True
F0077-P01,F0077,R1,0.118,sandy,S1,well,canal,649.4,groundnut,legume,low,low,none,R1-HZ1,kharif,700508431,True
F0077-P02,F0077,R1,0.104,alluvial,S3,moderate,canal,662.1,,,low,low,moderate,R1-HZ2,kharif,159909108,True
F0078-P01,F0078,R5,1.229,red,S1,moderate,rainfed,1736.7,cotton,fibre,none,none,moderate,R5-HZ1,kharif,811977274,True
F0078-P02,F0078,R5,0.904,red,S3,moderate,rainfed,1182.3,rice,cereal,none,none,moderate,R5-HZ2,kharif,1050492463,True
F0078-P03,F0078,R5,3.58,laterite,S2,moderate,rainfed,4759.1,cotton,fibre,high,moderate,moderate,R5-HZ3,kharif,1174150651,True
F0079-P01,F0079,R5,1.269,laterite,S3,poor,rainfed,2139.5,pigeon_pea,legume,low,low,high,R5-HZ1,kharif,1400957377,True
F0079-P02,F0079,R5,0.453,laterite,S1,moderate,tubewell,2573.5,groundnut,legume,none,low,moderate,R5-HZ2,kharif,1525052038,True
F0080-P01,F0080,R2,0.163,red,S1,poor,tubewell,643.3,pigeon_pea,legume,high,moderate,low,R2-HZ1,kharif,56603868,True
F0080-P02,F0080,R2,1.809,black,S1,moderate,canal,6685.3,cotton,fibre,none,low,moderate,R2-HZ2,kharif,1617354744,True
F0080-P03,F0080,R2,1.357,black,S2,well,rainfed,1424.3,cotton,fibre,moderate,moderate,low,R2-HZ3,kharif,743681562,True
F0081-P01,F0081,R2,0.267,black,S3,moderate,rainfed,255.4,cotton,fibre,low,low,moderate,R2-HZ1,kharif,1963404585,True
F0081-P02,F0081,R2,0.192,black,S3,poor,rainfed,202.0,maize,cereal,none,low,high,R2-HZ2,kharif,1451095273,True
F0082-P01,F0082,R5,0.196,laterite,S3,well,canal,1106.3,maize,cereal,low,high,moderate,R5-HZ1,kharif,1573463431,True
F0082-P02,F0082,R5,0.245,laterite,S2,moderate,canal,1436.2,pigeon_pea,legume,none,moderate,none,R5-HZ2,kharif,783787223,True
F0083-P01,F0083,R3,0.708,laterite,S2,well,rainfed,1441.8,groundnut,legume,none,none,moderate,R3-HZ1,kharif,974708737,True
F0084-P01,F0084,R1,1.727,sandy,S3,well,tubewell,9117.1,cotton,fibre,low,high,none,R1-HZ1,kharif,1139685630,True
F0084-P02,F0084,R1,2.692,alluvial,S3,moderate,canal,18397.4,groundnut,legume,low,none,none,R1-HZ2,kharif,100572586,True
F0085-P01,F0085,R3,0.7,laterite,S1,well,canal,5650.1,maize,cereal,none,none,moderate,R3-HZ1,kharif,511878465,True
F0085-P02,F0085,R3,2.426,alluvial,S2,well,rainfed,4630.0,rice,cereal,moderate,low,none,R3-HZ2,kharif,446004786,True
F0085-P03,F0085,R3,0.434,alluvial,S1,poor,rainfed,885.2,rice,cereal,low,moderate,moderate,R3-HZ3,kharif,1975612408,True
F0086-P01,F0086,R1,0.381,sandy,S3,well,rainfed,596.9,rice,cereal,high,moderate,low,R1-HZ1,kharif,848058461,True
F0086-P02,F0086,R1,0.206,sandy,S1,moderate,tubewell,1177.9,,,none,low,low,R1-HZ2,kharif,464766383,True
F0087-P01,F0087,R2,0.313,red,S1,poor,tubewell,936.7,groundnut,legume,low,low,high,R2-HZ1,kharif,144505005,True
F0088-P01,F0088,R4,2.903,red,S2,well,rainfed,3400.9,groundnut,legume,moderate,low,none,R4-HZ1,kharif,323776858,True
F0088-P02,F0088,R4,0.841,sandy,N,moderate,rainfed,1005.8,pigeon_pea,legume,none,none,none,R4-HZ2,kharif,467670322,True
F0089-P01,F0089,R1,0.324,alluvial,S3,well,canal,1969.6,rice,cereal,none,none,moderate,R1-HZ1,kharif,730345580,True
F0090-P01,F0090,R3,0.169,laterite,S1,poor,canal,1434.4,groundnut,legume,none,moderate,high,R3-HZ1,kharif,1389352303,True
F0090-P02,F0090,R3,3.329,laterite,S2,poor,canal,28702.3,groundnut,legume,low,none,none,R3-HZ2,kharif,1920517858,True
F0091-P01,F0091,R2,0.59,red,S3,well,tubewell,1915.3,cotton,fibre,low,low,none,R2-HZ1,kharif,1432549871,True
F0092-P01,F0092,R3,1.167,alluvial,N,poor,canal,8522.7,pigeon_pea,legume,moderate,none,high,R3-HZ1,kharif,413951888,True
F0092-P02,F0092,R3,1.999,alluvial,S1,well,rainfed,4274.7,groundnut,legume,high,low,low,R3-HZ2,kharif,1182319598,True
F0093-P01,F0093,R1,0.648,alluvial,S2,moderate,tubewell,2850.4,,,low,none,none,R1-HZ1,kharif,1630177933,True
F0094-P01,F0094,R3,1.125,alluvial,S2,moderate,rainfed,2359.1,groundnut,legume,low,none,moderate,R3-HZ1,kharif,1203075917,True
F0094-P02,F0094,R3,1.302,alluvial,N,well,rainfed,2559.5,cotton,fibre,high,none,moderate,R3-HZ2,kharif,1769322256,True
F0095-P01,F0095,R4,0.193,red,S2,moderate,rainfed,210.2,,,none,low,moderate,R4-HZ1,kharif,468986385,True
F0095-P02,F0095,R4,1.238,red,S3,well,rainfed,1423.4,cotton,fibre,none,high,moderate,R4-HZ2,kharif,983245341,True
F0096-P01,F0096,R4,0.517,red,S2,well,rainfed,475.0,pigeon_pea,legume,low,moderate,none,R4-HZ1,kharif,337846812,True
F0096-P02,F0096,R4,0.567,sandy,S2,well,rainfed,583.0,cotton,fibre,none,moderate,none,R4-HZ2,kharif,551966339,True
F0096-P03,F0096,R4,0.055,red,S1,poor,rainfed,53.4,rice,cereal,none,high,high,R4-HZ3,kharif,1547092706,True
F0097-P01,F0097,R2,2.59,black,S2,well,rainfed,2738.8,rice,cereal,moderate,high,none,R2-HZ1,kharif,1914391169,True
F0097-P02,F0097,R2,5.073,black,S2,well,tubewell,20307.0,cotton,fibre,low,low,low,R2-HZ2,kharif,1347437725,True
F0098-P01,F0098,R2,3.15,black,S2,poor,rainfed,3050.7,,,moderate,none,high,R2-HZ1,kharif,466560429,True
F0098-P02,F0098,R2,0.269,red,S3,well,rainfed,261.9,rice,cereal,none,high,none,R2-HZ2,kharif,535686213,True
F0098-P03,F0098,R2,0.368,red,S1,well,rainfed,381.6,pigeon_pea,legume,moderate,low,moderate,R2-HZ3,kharif,1615346444,True
F0099-P01,F0099,R2,0.47,black,S2,poor,rainfed,451.7,groundnut,legume,moderate,moderate,high,R2-HZ1,kharif,936726260,True
F0099-P02,F0099,R2,0.373,red,S2,well,rainfed,404.3,,,low,low,low,R2-HZ2,kharif,128966390,True
F0100-P01,F0100,R4,0.419,red,S1,moderate,rainfed,441.5,rice,cereal,low,moderate,moderate,R4-HZ1,kharif,44085843,True
F0100-P02,F0100,R4,0.368,sandy,S1,well,rainfed,329.1,maize,cereal,low,high,none,R4-HZ2,kharif,520590273,True
F0101-P01,F0101,R4,0.469,sandy,S3,well,rainfed,528.5,maize,cereal,none,high,moderate,R4-HZ1,kharif,266055525,True
F0101-P02,F0101,R4,0.307,sandy,S1,moderate,rainfed,277.8,,,none,moderate,moderate,R4-HZ2,kharif,1745522619,True
F0102-P01,F0102,R3,0.063,laterite,S2,well,tubewell,452.5,groundnut,legume,moderate,moderate,low,R3-HZ1,kharif,33594416,True
F0102-P02,F0102,R3,1.204,laterite,S1,well,canal,10181.8,,,moderate,none,none,R3-HZ2,kharif,309438413,True
F0103-P01,F0103,R5,0.915,red,S2,well,rainfed,1353.1,,,high,low,moderate,R5-HZ1,kharif,47696102,True
F0104-P01,F0104,R1,0.868,alluvial,S3,moderate,tubewell,3887.7,groundnut,legume,none,low,moderate,R1-HZ1,kharif,1398896415,True
F0105-P01,F0105,R2,1.291,black,S2,well,rainfed,1225.3,groundnut,legume,none,moderate,none,R2-HZ1,kharif,1839272233,True
F0105-P02,F0105,R2,0.253,black,N,well,rainfed,265.4,maize,cereal,low,moderate,none,R2-HZ2,kharif,639481049,True
F0105-P03,F0105,R2,1.108,black,S1,poor,canal,4897.8,,,none,high,high,R2-HZ3,kharif,1090654394,True
F0105-P04,F0105,R2,2.488,red,S1,moderate,canal,11508.9,maize,cereal,low,high,none,R2-HZ1,kharif,610574282,True
F0106-P01,F0106,R5,0.586,red,S2,moderate,tubewell,2681.9,,,none,none,low,R5-HZ1,kharif,686240290,True
