farmer_id,collective_id,region_id,season,holding_category,total_area_ha,cultivation_budget,labour_capacity,minimum_projected_income,risk_tolerance,participation_state,synthetic_seed,synthetic
F0048,C08,R3,kharif,marginal,0.208,7972.0,16.0,8414.0,0.39,INVITED,1540310343,True
F0049,C07,R2,kharif,marginal,0.983,34777.0,60.0,48635.0,0.71,INVITED,993191397,True
F0050,C10,R5,kharif,small,1.073,44589.0,105.0,45197.0,0.25,INVITED,888645946,True
F0051,C05,R5,kharif,marginal,0.795,24768.0,68.0,31086.0,0.12,INVITED,1275083899,True
F0052,C06,R1,kharif,marginal,0.261,11020.0,26.0,10370.0,0.23,INVITED,325350618,True
F0053,C02,R2,kharif,marginal,0.619,20687.0,59.0,19406.0,0.44,INVITED,1359272704,True
F0054,C02,R2,kharif,medium,4.805,125344.0,356.0,152488.0,0.55,INVITED,771243135,True
F0055,C10,R5,kharif,marginal,0.412,11481.0,43.0,14679.0,0.82,INVITED,711658337,True
F0056,C08,R3,kharif,marginal,0.969,42462.0,102.0,45821.0,0.85,INVITED,269452705,True
F0057,C09,R4,kharif,marginal,0.23,9220.0,22.0,9690.0,0.65,INVITED,606543125,True
F0058,C02,R2,kharif,marginal,0.322,10442.0,25.0,11812.0,0.42,INVITED,1932692493,True
F0059,C08,R3,kharif,marginal,0.735,19300.0,70.0,16111.0,0.31,INVITED,242146162,True
F0060,C09,R4,kharif,marginal,0.952,27510.0,61.0,26792.0,0.49,INVITED,1168033290,True
F0061,C08,R3,kharif,marginal,0.238,8433.0,17.0,10117.0,0.2,INVITED,31958266,True
F0062,C10,R5,kharif,marginal,0.598,24455.0,65.0,21980.0,0.38,INVITED,1568728817,True
F0063,C02,R2,kharif,marginal,0.3,9775.0,27.0,8015.0,0.28,INVITED,1439161785,True
F0064,C03,R3,kharif,semi_medium,3.053,90611.0,279.0,72502.0,0.58,INVITED,1906695950,True
F0065,C09,R4,kharif,marginal,0.745,32535.0,49.0,26511.0,0.48,INVITED,1242884762,True
F0066,C03,R3,kharif,marginal,0.542,16156.0,49.0,13130.0,0.69,INVITED,1710276959,True
F0067,C08,R3,kharif,marginal,0.615,15490.0,45.0,16780.0,0.22,INVITED,132220905,True
F0068,C10,R5,kharif,small,1.589,53691.0,158.0,55626.0,0.85,INVITED,1495285070,True
F0069,C08,R3,kharif,small,1.124,48208.0,75.0,57856.0,0.16,INVITED,394844414,True
F0070,C05,R5,kharif,marginal,0.858,26865.0,61.0,30367.0,0.8,INVITED,789471071,True
F0071,C06,R1,kharif,small,1.634,65736.0,143.0,64921.0,0.42,INVITED,1892764424,True
F0072,C10,R5,kharif,marginal,0.304,8771.0,32.0,11774.0,0.85,INVITED,1934145434,True
F0073,C09,R4,kharif,marginal,0.625,23515.0,44.0,26962.0,0.6,INVITED,990151239,True
F0074,C08,R3,kharif,small,1.953,67453.0,199.0,93153.0,0.53,INVITED,1074662341,True
F0075,C06,R1,kharif,marginal,0.919,27926.0,81.0,31332.0,0.78,INVITED,156104011,True
F0076,C02,R2,kharif,marginal,0.895,38109.0,76.0,50915.0,0.48,INVITED,797235942,True
F0077,C06,R1,kharif,marginal,0.222,8774.0,16.0,7506.0,0.72,INVITED,972168406,True
F0078,C05,R5,kharif,medium,5.713,173871.0,536.0,151511.0,0.89,INVITED,1348839786,True
F0079,C10,R5,kharif,small,1.722,76280.0,104.0,97708.0,0.27,INVITED,698188538,True
F0080,C07,R2,kharif,semi_medium,3.329,85722.0,241.0,96317.0,0.3,INVITED,791108838,True
F0081,C02,R2,kharif,marginal,0.459,18094.0,38.0,19569.0,0.49,INVITED,403883148,True
F0082,C05,R5,kharif,marginal,0.441,19256.0,31.0,16549.0,0.28,INVITED,710543564,True
F0083,C08,R3,kharif,marginal,0.708,26891.0,59.0,35267.0,0.18,INVITED,1797601493,True
F0084,C06,R1,kharif,medium,4.419,169398.0,428.0,217118.0,0.9,INVITED,1967703196,True
F0085,C08,R3,kharif,semi_medium,3.56,139887.0,236.0,188507.0,0.74,INVITED,1923733879,True
F0086,C06,R1,kharif,marginal,0.587,21503.0,37.0,25546.0,0.87,INVITED,739833527,True
F0087,C07,R2,kharif,marginal,0.313,12606.0,28.0,10390.0,0.8,INVITED,804492295,True
F0088,C09,R4,kharif,semi_medium,3.744,141060.0,299.0,173860.0,0.68,INVITED,934210400,True
F0089,C01,R1,kharif,marginal,0.324,10377.0,31.0,12004.0,0.32,INVITED,185321431,True
F0090,C08,R3,kharif,semi_medium,3.498,148389.0,347.0,192011.0,0.75,INVITED,1786919193,True
F0091,C07,R2,kharif,marginal,0.59,24461.0,64.0,20827.0,0.4,INVITED,575051445,True
F0092,C03,R3,kharif,semi_medium,3.166,84655.0,236.0,78800.0,0.64,INVITED,1371285413,True
F0093,C01,R1,kharif,marginal,0.648,20593.0,56.0,25339.0,0.3,INVITED,1126953337,True
F0094,C03,R3,kharif,semi_medium,2.427,84053.0,148.0,96952.0,0.61,INVITED,1121259717,True
F0095,C04,R4,kharif,small,1.431,48767.0,127.0,67508.0,0.11,INVITED,216315433,True
F0096,C09,R4,kharif,small,1.139,29751.0,111.0,41465.0,0.85,INVITED,930935935,True
F0097,C02,R2,kharif,medium,7.663,304951.0,744.0,376144.0,0.54,INVITED,811484639,True
F0098,C07,R2,kharif,semi_medium,3.787,129167.0,247.0,159567.0,0.15,INVITED,740810404,True
F0099,C02,R2,kharif,marginal,0.843,23633.0,60.0,26706.0,0.29,INVITED,403197343,True
F0100,C09,R4,kharif,marginal,0.787,22076.0,72.0,28771.0,0.74,INVITED,1192106165,True
F0101,C04,R4,kharif,marginal,0.776,19426.0,61.0,20715.0,0.59,INVITED,772550904,True
F0102,C03,R3,kharif,small,1.267,41168.0,83.0,35735.0,0.88,INVITED,575732241,True
F0103,C10,R5,kharif,marginal,0.915,39795.0,86.0,43760.0,0.53,INVITED,894693252,True
F0104,C01,R1,kharif,marginal,0.868,22810.0,72.0,26241.0,0.77,INVITED,550727792,True
F0105,C02,R2,kharif,medium,5.14,222188.0,452.0,201669.0,0.19,INVITED,1359496507,True
F0106,C05,R5,kharif,marginal,0.832,27335.0,68.0,31116.0,0.54,INVITED,740653377,True
F0107,C01,R1,kharif,marginal,0.79,30498.0,71.0,41791.0,0.75,INVITED,629629217,True
F0108,C03,R3,kharif,semi_medium,2.569,69804.0,201.0,93995.0,0.15,INVITED,374124741,True
F0109,C06,R1,kharif,semi_medium,2.829,113323.0,232.0,100261.0,0.32,INVITED,1059541760,True
F0110,C10,R5,kharif,small,1.749,54462.0,168.0,45306.0,0.69,INVITED,954588088,True
F0111,C06,R1,kharif,small,1.982,59229.0,161.0,47908.0,0.77,INVITED,1586438697,True
F0112,C02,R2,kharif,marginal,0.222,9082.0,23.0,10752.0,0.7,INVITED,784270229,True
F0113,C09,R4,kharif,marginal,0.613,23966.0,62.0,22814.0,0.27,INVITED,1578773863,True
F0114,C06,R1,kharif,marginal,0.584,20172.0,46.0,22790.0,0.32,INVITED,1058308753,True
F0115,C06,R1,kharif,semi_medium,3.659,141068.0,248.0,135844.0,0.68,INVITED,1978910505,True
F0116,C08,R3,kharif,marginal,0.951,37163.0,59.0,48731.0,0.66,INVITED,216543192,True
F0117,C08,R3,kharif,small,1.998,68802.0,129.0,84206.0,0.31,INVITED,1945775820,True
F0118,C05,R5,kharif,marginal,0.236,8378.0,17.0,7141.0,0.47,INVITED,1302600080,True
F0119,C02,R2,kharif,marginal,0.53,17715.0,33.0,21209.0,0.72,INVITED,1742466878,True
F0120,C03,R3,kharif,marginal,0.239,8146.0,21.0,9699.0,0.21,INVITED,751378428,True
F0121,C07,R2,kharif,marginal,0.919,37139.0,87.0,49406.0,0.66,INVITED,386269120,True
F0122,C01,R1,kharif,marginal,0.373,12864.0,23.0,17615.0,0.64,INVITED,366873136,True
F0123,C05,R5,kharif,marginal,0.987,38005.0,89.0,51715.0,0.24,INVITED,1013297838,True
F0124,C03,R3,kharif,small,1.728,59373.0,134.0,66273.0,0.2,INVITED,874978739,True
F0125,C03,R3,kharif,marginal,0.255,9259.0,17.0,11695.0,0.69,INVITED,1686183810,True
F0126,C05,R5,kharif,medium,7.449,204562.0,468.0,249739.0,0.41,INVITED,1627944037,True
F0127,C05,R5,kharif,marginal,0.365,13987.0,32.0,14857.0,0.85,INVITED,1321133804,True
F0128,C08,R3,kharif,semi_medium,3.008,119485.0,245.0,120075.0,0.39,INVITED,545998689,True
F0129,C05,R5,kharif,small,1.762,46202.0,116.0,63036.0,0.32,INVITED,1978744775,True
F0130,C01,R1,kharif,marginal,0.518,18787.0,53.0,15135.0,0.26,INVITED,1923615736,True
F0131,C03,R3,kharif,marginal,0.812,28846.0,75.0,34537.0,0.48,INVITED,366007084,True
F0132,C09,R4,kharif,small,1.229,54982.0,134.0,60476.0,0.24,INVITED,742319992,True
F0133,C07,R2,kharif,marginal,0.772,27269.0,83.0,26498.0,0.78,INVITED,652069285,True
F0134,C03,R3,kharif,marginal,0.923,37246.0,89.0,30813.0,0.88,INVITED,952361803,True
F0135,C03,R3,kharif,marginal,0.478,15221.0,50.0,15758.0,0.19,INVITED,1000302400,True
F0136,C06,R1,kharif,marginal,0.463,18587.0,29.0,17659.0,0.41,INVITED,112695264,True
F0137,C04,R4,kharif,medium,9.244,260731.0,751.0,359371.0,0.74,INVITED,1755368683,True
F0138,C08,R3,kharif,large,15.055,387950.0,1609.0,445290.0,0.63,INVITED,1879225799,True
F0139,C06,R1,kharif,marginal,0.324,11395.0,33.0,14511.0,0.63,INVITED,1645021846,True
F0140,C10,R5,kharif,marginal,0.717,27957.0,72.0,37780.0,0.81,INVITED,1692819911,True
F0141,C10,R5,kharif,marginal,0.966,41198.0,94.0,49654.0,0.24,INVITED,1977404917,True
F0142,C05,R5,kharif,marginal,0.89,28272.0,62.0,29566.0,0.31,INVITED,1349280720,True
F0143,C03,R3,kharif,small,1.482,40922.0,114.0,43019.0,0.55,INVITED,567968962,True
F0144,C09,R4,kharif,small,1.169,50278.0,94.0,66711.0,0.41,INVITED,621963689,True
F0145,C05,R5,kharif,marginal,0.923,32122.0,77.0,33686.0,0.19,INVITED,1818900988,True
F0146,C06,R1,kharif,marginal,0.974,42268.0,85.0,35733.0,0.75,INVITED,1095872164,True
F0147,C10,R5,kharif,marginal,0.616,21287.0,41.0,24432.0,0.37,INVITED,488521691,True
F0148,C03,R3,kharif,medium,9.663,256404.0,604.0,336647.0,0.32,INVITED,1908025774,True
F0149,C01,R1,kharif,marginal,0.926,30451.0,93.0,27647.0,0.35,INVITED,1719974385,True
F0150,C10,R5,kharif,small,1.746,45240.0,149.0,44893.0,0.6,INVITED,1574105644,True
F0151,C06,R1,kharif,small,1.21,49380.0,78.0,67790.0,0.69,INVITED,1309946032,True
F0152,C02,R2,kharif,semi_medium,3.106,80789.0,327.0,68005.0,0.37,INVITED,1788701664,True
F0153,C08,R3,kharif,medium,8.119,336087.0,584.0,458488.0,0.27,INVITED,231366416,True
F0154,C06,R1,kharif,semi_medium,3.328,90706.0,246.0,99821.0,0.64,INVITED,263675179,True
F0155,C02,R2,kharif,marginal,0.464,14304.0,36.0,12462.0,0.66,INVITED,860534965,True
F0156,C10,R5,kharif,semi_medium,3.447,118962.0,263.0,140698.0,0.52,INVITED,326891108,True
F0157,C01,R1,kharif,marginal,0.814,33784.0,81.0,33280.0,0.44,INVITED,1070380377,True
F0158,C03,R3,kharif,semi_medium,3.668,131380.0,395.0,172121.0,0.53,INVITED,1838360438,True
F0159,C08,R3,kharif,small,1.784,76899.0,186.0,61948.0,0.19,INVITED,1248734241,True
F0160,C03,R3,kharif,semi_medium,2.663,93366.0,175.0,85241.0,0.75,INVITED,1962736829,True
F0161,C04,R4,kharif,marginal,0.974,35736.0,62.0,29801.0,0.57,INVITED,1485505409,True
F0162,C03,R3,kharif,small,1.342,55283.0,139.0,49385.0,0.47,INVITED,1006950022,True
F0163,C08,R3,kharif,marginal,0.24,7978.0,23.0,8007.0,0.16,INVITED,155244310,True
F0164,C01,R1,kharif,marginal,0.4,13334.0,27.0,12646.0,0.54,INVITED,31790631,True
F0165,C02,R2,kharif,semi_medium,3.46,139129.0,312.0,120534.0,0.53,INVITED,822635239,True
F0166,C03,R3,kharif,marginal,0.57,25556.0,38.0,31420.0,0.79,INVITED,910564498,True
F0167,C03,R3,kharif,marginal,0.778,19755.0,74.0,18795.0,0.66,INVITED,128553786,True
F0168,C08,R3,kharif,marginal,0.878,22550.0,67.0,25162.0,0.38,INVITED,1975644865,True
F0169,C02,R2,kharif,marginal,0.4,10450.0,33.0,14072.0,0.8,INVITED,1234439346,True
F0170,C04,R4,kharif,medium,9.872,248012.0,932.0,240755.0,0.88,INVITED,1059755152,True
F0171,C09,R4,kharif,marginal,0.771,33578.0,78.0,43615.0,0.18,INVITED,103513018,True
F0172,C01,R1,kharif,marginal,0.883,33010.0,87.0,32941.0,0.37,INVITED,495819282,True
F0173,C04,R4,kharif,marginal,0.783,34541.0,74.0,31314.0,0.64,INVITED,1774212107,True
F0174,C06,R1,kharif,marginal,0.806,31161.0,51.0,36577.0,0.16,INVITED,288122337,True
F0175,C05,R5,kharif,small,1.945,74062.0,169.0,67163.0,0.36,INVITED,1958430797,True
F0176,C09,R4,kharif,small,1.383,57299.0,89.0,69771.0,0.69,INVITED,1678944200,True
F0177,C10,R5,kharif,small,1.952,64132.0,164.0,73467.0,0.18,INVITED,1891561387,True
F0178,C10,R5,kharif,semi_medium,2.296,73203.0,210.0,71370.0,0.49,INVITED,264143363,True
F0179,C10,R5,kharif,small,1.069,33364.0,82.0,36134.0,0.34,INVITED,1138909452,True
F0180,C09,R4,kharif,marginal,0.994,43790.0,91.0,51715.0,0.8,INVITED,1730531773,True
F0181,C05,R5,kharif,semi_medium,2.938,81754.0,284.0,97609.0,0.82,INVITED,1781149385,True
F0182,C08,R3,kharif,marginal,0.364,10565.0,29.0,11678.0,0.71,INVITED,1423108712,True
F0183,C05,R5,kharif,marginal,0.982,34493.0,86.0,41152.0,0.75,INVITED,837798472,True
F0184,C02,R2,kharif,marginal,0.713,24498.0,55.0,20659.0,0.56,INVITED,1528269349,True
F0185,C09,R4,kharif,small,1.502,49098.0,121.0,39904.0,0.21,INVITED,90126470,True
F0186,C04,R4,kharif,marginal,0.342,10550.0,29.0,9474.0,0.56,INVITED,1712928150,True
F0187,C09,R4,kharif,semi_medium,3.188,128040.0,203.0,134579.0,0.64,INVITED,743441196,True
F0188,C05,R5,kharif,medium,5.149,209775.0,329.0,221291.0,0.76,INVITED,1030267067,True
F0189,C05,R5,kharif,small,1.018,32267.0,109.0,42039.0,0.69,INVITED,977180436,True
F0190,C01,R1,kharif,marginal,0.656,27808.0,55.0,29010.0,0.28,INVITED,1431507009,True
F0191,C09,R4,kharif,marginal,0.562,17776.0,37.0,23568.0,0.78,INVITED,1574734284,True
F0192,C08,R3,kharif,semi_medium,2.994,130949.0,237.0,120640.0,0.68,INVITED,1165303961,True
F0193,C10,R5,kharif,medium,5.853,250979.0,517.0,345786.0,0.83,INVITED,633656551,True
F0194,C05,R5,kharif,marginal,0.592,18900.0,57.0,25481.0,0.87,INVITED,1474025376,True
F0195,C02,R2,kharif,small,1.775,48594.0,111.0,40428.0,0.59,INVITED,1434970350,True
F0196,C07,R2,kharif,marginal,0.636,26206.0,45.0,35134.0,0.81,INVITED,1692182035,True
F0197,C09,R4,kharif,marginal,0.764,24348.0,67.0,33641.0,0.27,INVITED,1622335082,True
F0198,C05,R5,kharif,marginal,0.616,19566.0,62.0,16648.0,0.43,INVITED,1859814127,True
F0199,C08,R3,kharif,small,1.691,71097.0,161.0,63076.0,0.69,INVITED,267561047,True
F0200,C10,R5,kharif,marginal,0.4,14242.0,39.0,18552.0,0.11,INVITED,629107183,True
F0201,C07,R2,kharif,small,1.498,61430.0,117.0,81366.0,0.43,INVITED,474298205,True
F0202,C01,R1,kharif,semi_medium,2.728,107763.0,212.0,140611.0,0.43,INVITED,850798102,True
F0203,C02,R2,kharif,small,1.897,65073.0,203.0,57483.0,0.17,INVITED,590817081,True
F0204,C05,R5,kharif,marginal,0.299,7803.0,23.0,10747.0,0.66,INVITED,1746335756,True
F0205,C10,R5,kharif,small,1.465,60246.0,158.0,55105.0,0.26,INVITED,1872989208,True
F0206,C01,R1,kharif,medium,4.914,208881.0,466.0,269306.0,0.82,INVITED,804949025,True
F0207,C08,R3,kharif,marginal,0.322,8706.0,20.0,8426.0,0.9,INVITED,1872847745,True
F0208,C07,R2,kharif,marginal,0.791,31997.0,79.0,26546.0,0.48,INVITED,984567596,True
F0209,C02,R2,kharif,marginal,0.514,17208.0,50.0,22718.0,0.4,INVITED,1774144711,True
F0210,C04,R4,kharif,small,1.706,69476.0,130.0,76999.0,0.56,INVITED,903676219,True
F0211,C08,R3,kharif,small,1.041,28515.0,91.0,26641.0,0.46,INVITED,23349195,True
F0212,C10,R5,kharif,small,1.174,45865.0,82.0,57504.0,0.5,INVITED,1892723159,True
F0213,C05,R5,kharif,marginal,0.999,25869.0,73.0,28091.0,0.24,INVITED,1078336587,True
F0214,C04,R4,kharif,marginal,0.429,12005.0,39.0,13687.0,0.28,INVITED,186928927,True
F0215,C07,R2,kharif,marginal,0.493,16145.0,53.0,17410.0,0.63,INVITED,167660654,True
F0216,C05,R5,kharif,marginal,0.544,14985.0,49.0,16560.0,0.34,INVITED,440517929,True
F0217,C09,R4,kharif,marginal,0.538,20634.0,40.0,16769.0,0.46,INVITED,1334663611,True
F0218,C01,R1,kharif,semi_medium,2.418,70794.0,147.0,57394.0,0.21,INVITED,1259625587,True
F0219,C05,R5,kharif,marginal,0.555,20343.0,56.0,26291.0,0.72,INVITED,534792554,True
F0220,C10,R5,kharif,marginal,0.611,18577.0,57.0,15648.0,0.51,INVITED,933993486,True
F0221,C07,R2,kharif,marginal,0.342,8985.0,34.0,12125.0,0.2,INVITED,1629087865,True
F0222,C03,R3,kharif,medium,5.301,188624.0,475.0,221795.0,0.28,INVITED,1653247430,True
F0223,C07,R2,kharif,marginal,0.624,21030.0,42.0,17383.0,0.8,INVITED,645014130,True
F0224,C08,R3,kharif,marginal,0.299,11030.0,27.0,12798.0,0.27,INVITED,1855574470,True
F0225,C04,R4,kharif,small,1.067,34857.0,83.0,35685.0,0.14,INVITED,1381481713,True
F0226,C04,R4,kharif,marginal,0.644,23098.0,42.0,20290.0,0.2,INVITED,1131030093,True
F0227,C08,R3,kharif,marginal,0.347,12255.0,30.0,12764.0,0.78,INVITED,336919983,True
F0228,C01,R1,kharif,marginal,0.718,22118.0,45.0,24370.0,0.65,INVITED,554042111,True
F0229,C03,R3,kharif,marginal,0.677,28434.0,51.0,37326.0,0.86,INVITED,322380046,True
F0230,C10,R5,kharif,marginal,0.887,38858.0,79.0,32934.0,0.64,INVITED,1536924958,True
F0231,C07,R2,kharif,marginal,0.99,30769.0,69.0,33174.0,0.12,INVITED,1063821722,True
F0232,C09,R4,kharif,marginal,0.516,18896.0,49.0,24351.0,0.51,INVITED,678315211,True
F0233,C03,R3,kharif,marginal,0.923,37087.0,86.0,37402.0,0.36,INVITED,1938479326,True
F0234,C10,R5,kharif,marginal,0.917,32736.0,93.0,41064.0,0.3,INVITED,739792730,True
F0235,C04,R4,kharif,marginal,0.883,38147.0,91.0,37860.0,0.72,INVITED,347449217,True
F0236,C07,R2,kharif,semi_medium,2.78,72057.0,269.0,84517.0,0.35,INVITED,721858523,True
F0237,C05,R5,kharif,marginal,0.913,39556.0,81.0,46438.0,0.8,INVITED,1264165735,True
F0238,C10,R5,kharif,marginal,0.441,14005.0,41.0,14389.0,0.2,INVITED,1256789230,True
F0239,C04,R4,kharif,small,1.189,33322.0,73.0,40213.0,0.1,INVITED,898106774,True
F0240,C10,R5,kharif,small,1.178,36755.0,89.0,45561.0,0.64,INVITED,1533148802,True
F0241,C09,R4,kharif,marginal,0.456,14879.0,49.0,16979.0,0.18,INVITED,900190567,True
F0242,C08,R3,kharif,semi_medium,3.141,101719.0,217.0,89618.0,0.34,INVITED,1613002919,True
F0243,C08,R3,kharif,marginal,0.29,12030.0,24.0,11060.0,0.47,INVITED,649457566,True
F0244,C08,R3,kharif,marginal,0.638,21551.0,61.0,20227.0,0.49,INVITED,1276121680,True
F0245,C05,R5,kharif,semi_medium,3.976,169463.0,430.0,221081.0,0.51,INVITED,1665393565,True
F0246,C09,R4,kharif,small,1.615,66069.0,178.0,85381.0,0.48,INVITED,1369981465,True
F0247,C03,R3,kharif,marginal,0.564,15684.0,51.0,16416.0,0.41,INVITED,276398933,True
F0248,C08,R3,kharif,marginal,0.691,27402.0,43.0,30357.0,0.28,INVITED,65207241,True
F0249,C05,R5,kharif,marginal,0.267,8870.0,21.0,7351.0,0.78,INVITED,196487106,True
F0250,C09,R4,kharif,marginal,0.58,22435.0,60.0,28468.0,0.44,INVITED,1913732435,True
F0251,C02,R2,kharif,marginal,0.375,15589.0,37.0,17941.0,0.12,INVITED,227484107,True
F0252,C07,R2,kharif,marginal,0.34,9747.0,22.0,11120.0,0.64,INVITED,1035640647,True
F0253,C10,R5,kharif,marginal,0.688,27380.0,67.0,37087.0,0.16,INVITED,514172250,True
F0254,C10,R5,kharif,marginal,0.322,8779.0,32.0,8801.0,0.37,INVITED,638886941,True
F0255,C03,R3,kharif,marginal,0.268,9217.0,19.0,9376.0,0.47,INVITED,783322307,True
F0256,C02,R2,kharif,marginal,0.703,22635.0,60.0,21255.0,0.29,INVITED,702314994,True
F0257,C02,R2,kharif,marginal,0.787,34848.0,51.0,44447.0,0.26,INVITED,288711894,True
F0258,C06,R1,kharif,marginal,0.217,7666.0,23.0,10025.0,0.23,INVITED,1234703728,True
F0259,C02,R2,kharif,marginal,0.296,13048.0,22.0,16069.0,0.62,INVITED,1699166247,True
F0260,C04,R4,kharif,marginal,0.233,9894.0,21.0,12828.0,0.26,INVITED,1975830759,True
F0261,C02,R2,kharif,marginal,0.479,16843.0,34.0,21837.0,0.59,INVITED,145002190,True
F0262,C03,R3,kharif,marginal,0.965,28988.0,82.0,24348.0,0.15,INVITED,303995807,True
F0263,C09,R4,kharif,medium,4.598,196453.0,434.0,262648.0,0.88,INVITED,1982659234,True
F0264,C09,R4,kharif,marginal,0.228,9606.0,18.0,10642.0,0.27,INVITED,1639083471,True
F0265,C07,R2,kharif,marginal,0.764,32075.0,56.0,41534.0,0.6,INVITED,589387644,True
F0266,C08,R3,kharif,marginal,0.566,18942.0,41.0,20750.0,0.22,INVITED,662657124,True
F0267,C01,R1,kharif,small,1.467,46549.0,122.0,52765.0,0.52,INVITED,1373770374,True
F0268,C08,R3,kharif,marginal,0.553,20414.0,52.0,27807.0,0.64,INVITED,1545575520,True
F0269,C06,R1,kharif,semi_medium,2.09,81605.0,215.0,87575.0,0.75,INVITED,1630957250,True
