farmer_id,plot_id,crop,area_ha,net_return,cost,labour_pd
F0097,F0097-P02,maize,5.073,132676.0,224300.0,329.7
F0097,F0097-P01,pearl_millet,2.59,40509.0,64353.0,129.5
F0098,F0098-P03,pearl_millet,0.368,5756.0,9144.0,18.4
F0098,F0098-P02,pearl_millet,0.269,4207.0,6684.0,13.5
F0099,F0099-P02,pearl_millet,0.373,5834.0,9268.0,18.6
F0102,F0102-P02,pearl_millet,1.204,18831.0,29916.0,60.2
F0102,F0102-P01,maize,0.063,1648.0,2786.0,4.1
F0103,F0103-P01,pearl_millet,0.915,14311.0,22735.0,45.8
F0104,F0104-P01,pearl_millet,0.868,13576.0,21567.0,43.4
F0105,F0105-P04,pigeon_pea,2.488,61609.0,104789.0,136.8
F0105,F0105-P01,pearl_millet,1.291,20192.0,32077.0,64.5
F0106,F0106-P01,maize,0.586,15326.0,25910.0,38.1
F0107,F0107-P02,maize,0.658,17209.0,29093.0,42.8
F0108,F0108-P03,maize,1.554,40642.0,68709.0,101.0
F0109,F0109-P02,groundnut,0.626,31523.0,63047.0,53.2
F0109,F0109-P01,pearl_millet,0.911,14248.0,22635.0,45.6
F0110,F0110-P01,pearl_millet,1.363,21318.0,33866.0,68.2
F0110,F0110-P02,groundnut,0.201,10122.0,20243.0,17.1
F0111,F0111-P02,maize,0.656,17157.0,29005.0,42.6
F0112,F0112-P02,pearl_millet,0.158,2471.0,3926.0,7.9
F0112,F0112-P01,pearl_millet,0.064,1001.0,1590.0,3.2
F0113,F0113-P02,pearl_millet,0.378,5912.0,9392.0,18.9
F0114,F0114-P01,pearl_millet,0.584,9134.0,14511.0,29.2
F0115,F0115-P02,groundnut,1.005,50609.0,101217.0,85.4
F0115,F0115-P01,pearl_millet,0.916,14327.0,22760.0,45.8
F0116,F0116-P02,maize,0.702,18360.0,31039.0,45.6
F0117,F0117-P02,soybean,1.56,29451.0,58902.0,70.2
F0119,F0119-P01,maize,0.298,7794.0,13176.0,19.4
F0120,F0120-P01,pearl_millet,0.239,3738.0,5938.0,11.9
F0121,F0121-P01,soybean,0.919,17350.0,34699.0,41.4
F0122,F0122-P01,maize,0.277,7245.0,12247.0,18.0
F0123,F0123-P01,soybean,0.987,18633.0,37267.0,44.4
F0125,F0125-P01,pearl_millet,0.255,3988.0,6336.0,12.8
F0126,F0126-P01,groundnut,1.9,95678.0,191356.0,161.5
F0127,F0127-P01,pearl_millet,0.365,5709.0,9069.0,18.2
F0128,F0128-P02,maize,2.466,64494.0,109033.0,160.3
F0129,F0129-P01,groundnut,0.43,21653.0,43307.0,36.5
F0130,F0130-P01,maize,0.225,5885.0,9948.0,14.6
F0131,F0131-P02,pearl_millet,0.772,12074.0,19182.0,38.6
F0131,F0131-P01,cotton,0.04,1292.0,2584.0,4.4
F0133,F0133-P01,maize,0.314,8212.0,13883.0,20.4
F0133,F0133-P02,pearl_millet,0.458,7163.0,11380.0,22.9
F0134,F0134-P01,soybean,0.923,17425.0,34850.0,41.5
F0135,F0135-P01,maize,0.243,6355.0,10744.0,15.8
F0136,F0136-P02,groundnut,0.055,2770.0,5539.0,4.7
F0138,F0138-P03,maize,6.082,159065.0,268913.0,395.3
F0138,F0138-P01,groundnut,0.725,36509.0,73017.0,61.6
F0139,F0139-P02,pearl_millet,0.272,4254.0,6758.0,13.6
F0139,F0139-P01,pearl_millet,0.052,813.0,1292.0,2.6
F0141,F0141-P01,maize,0.843,22047.0,37273.0,54.8
F0142,F0142-P01,pearl_millet,0.89,13920.0,22114.0,44.5
F0143,F0143-P01,pearl_millet,1.482,23179.0,36823.0,74.1
F0145,F0145-P02,pearl_millet,0.835,13060.0,20747.0,41.8
F0145,F0145-P01,groundnut,0.088,4431.0,8863.0,7.5
F0146,F0146-P02,pearl_millet,0.927,14499.0,23033.0,46.4
F0146,F0146-P01,groundnut,0.047,2367.0,4734.0,4.0
F0147,F0147-P01,maize,0.377,9860.0,16669.0,24.5
F0148,F0148-P01,maize,3.06,80030.0,135297.0,198.9
F0149,F0149-P01,pearl_millet,0.926,14483.0,23008.0,46.3
F0150,F0150-P02,groundnut,0.439,22107.0,44213.0,37.3
F0151,F0151-P01,pearl_millet,1.21,18925.0,30065.0,60.5
F0152,F0152-P03,pearl_millet,2.36,36912.0,58638.0,118.0
F0152,F0152-P02,pearl_millet,0.445,6960.0,11057.0,22.2
F0152,F0152-P01,pearl_millet,0.301,4708.0,7479.0,15.0
F0153,F0153-P01,cotton,3.843,124148.0,248295.0,422.7
F0153,F0153-P03,groundnut,0.558,28099.0,56198.0,47.4
F0154,F0154-P01,pearl_millet,2.265,35426.0,56278.0,113.2
F0154,F0154-P02,pearl_millet,0.365,5709.0,9069.0,18.2
F0155,F0155-P01,pearl_millet,0.464,7257.0,11529.0,23.2
F0156,F0156-P03,maize,1.67,43676.0,73838.0,108.5
F0157,F0157-P01,soybean,0.605,11422.0,22843.0,27.2
F0158,F0158-P02,pearl_millet,3.487,54538.0,86641.0,174.3
F0158,F0158-P01,groundnut,0.181,9115.0,18229.0,15.4
F0159,F0159-P01,pigeon_pea,1.784,44176.0,75138.0,98.1
F0160,F0160-P02,maize,1.124,29396.0,49697.0,73.1
F0164,F0164-P01,pearl_millet,0.324,5068.0,8050.0,16.2
F0164,F0164-P02,pearl_millet,0.076,1189.0,1888.0,3.8
F0165,F0165-P01,pearl_millet,1.279,20004.0,31779.0,63.9
F0165,F0165-P02,pearl_millet,1.17,18299.0,29071.0,58.5
F0166,F0166-P01,maize,0.388,10148.0,17155.0,25.2
F0167,F0167-P01,pearl_millet,0.778,12168.0,19331.0,38.9
F0168,F0168-P01,pearl_millet,0.878,13732.0,21815.0,43.9
F0169,F0169-P01,pearl_millet,0.375,5865.0,9318.0,18.8
F0169,F0169-P02,maize,0.025,654.0,1105.0,1.6
F0170,F0170-P03,maize,1.197,31306.0,52925.0,77.8
F0173,F0173-P01,pearl_millet,0.659,10307.0,16374.0,33.0
F0173,F0173-P02,pearl_millet,0.124,1939.0,3081.0,6.2
F0175,F0175-P01,pearl_millet,1.945,30421.0,48327.0,97.2
F0177,F0177-P01,pearl_millet,1.952,30530.0,48501.0,97.6
F0178,F0178-P01,pearl_millet,1.943,30389.0,48277.0,97.2
F0178,F0178-P02,cotton,0.353,11404.0,22807.0,38.8
F0179,F0179-P01,maize,0.603,15771.0,26661.0,39.2
F0180,F0180-P01,groundnut,0.09,4532.0,9064.0,7.6
F0181,F0181-P02,maize,1.579,41296.0,69815.0,102.6
F0182,F0182-P01,pearl_millet,0.364,5693.0,9044.0,18.2
F0183,F0183-P01,pearl_millet,0.982,15359.0,24400.0,49.1
F0184,F0184-P02,pearl_millet,0.05,782.0,1242.0,2.5
F0185,F0185-P02,pearl_millet,1.371,21443.0,34065.0,68.5
F0188,F0188-P02,maize,3.769,98572.0,166645.0,245.0
F0188,F0188-P01,groundnut,0.327,16467.0,32933.0,27.8
F0189,F0189-P01,maize,0.532,13914.0,23522.0,34.6
F0190,F0190-P01,pigeon_pea,0.656,16244.0,27629.0,36.1
F0192,F0192-P01,maize,2.512,65697.0,111067.0,163.3
F0193,F0193-P01,maize,4.482,117220.0,198170.0,291.3
F0194,F0194-P01,maize,0.423,11063.0,18703.0,27.5
F0195,F0195-P01,pearl_millet,1.775,27762.0,44103.0,88.8
F0196,F0196-P01,pearl_millet,0.636,9947.0,15803.0,31.8
F0198,F0198-P01,pearl_millet,0.616,9635.0,15306.0,30.8
F0199,F0199-P01,soybean,1.691,31924.0,63848.0,76.1
F0200,F0200-P02,soybean,0.365,6891.0,13782.0,16.4
F0201,F0201-P02,maize,1.374,35935.0,60751.0,89.3
F0202,F0202-P03,maize,1.465,38315.0,64774.0,95.2
F0202,F0202-P02,pearl_millet,1.106,17298.0,27481.0,55.3
F0203,F0203-P01,maize,1.142,29867.0,50493.0,74.2
F0203,F0203-P02,pearl_millet,0.528,8258.0,13119.0,26.4
F0204,F0204-P01,pearl_millet,0.299,4677.0,7429.0,14.9
F0205,F0205-P01,maize,0.968,25317.0,42800.0,62.9
F0206,F0206-P01,groundnut,0.241,12136.0,24272.0,20.5
F0207,F0207-P02,maize,0.094,2458.0,4156.0,6.1
F0208,F0208-P01,groundnut,0.214,10776.0,21553.0,18.2
F0209,F0209-P01,pearl_millet,0.361,5646.0,8970.0,18.1
F0209,F0209-P02,pearl_millet,0.153,2393.0,3802.0,7.6
F0211,F0211-P03,soybean,0.674,12724.0,25449.0,30.3
F0212,F0212-P01,soybean,1.116,21069.0,42138.0,50.2
F0213,F0213-P01,pigeon_pea,0.607,15031.0,25565.0,33.4
F0214,F0214-P01,pearl_millet,0.429,6710.0,10659.0,21.4
F0215,F0215-P01,soybean,0.37,6985.0,13970.0,16.6
F0216,F0216-P01,pearl_millet,0.427,6678.0,10610.0,21.3
F0218,F0218-P02,pearl_millet,0.345,5396.0,8572.0,17.2
F0219,F0219-P01,pearl_millet,0.555,8680.0,13790.0,27.8
F0220,F0220-P02,pearl_millet,0.538,8415.0,13368.0,26.9
F0221,F0221-P01,pearl_millet,0.342,5349.0,8498.0,17.1
F0222,F0222-P04,pigeon_pea,2.581,63912.0,108706.0,142.0
F0222,F0222-P01,maize,1.356,35464.0,59955.0,88.1
F0223,F0223-P01,pearl_millet,0.624,9760.0,15504.0,31.2
F0226,F0226-P02,maize,0.439,11481.0,19410.0,28.5
F0227,F0227-P01,pearl_millet,0.347,5427.0,8622.0,17.3
F0228,F0228-P02,soybean,0.462,8722.0,17444.0,20.8
F0229,F0229-P01,soybean,0.677,12781.0,25562.0,30.5
F0230,F0230-P01,pearl_millet,0.887,13873.0,22039.0,44.4
F0231,F0231-P01,pearl_millet,0.831,12997.0,20648.0,41.5
F0231,F0231-P02,pearl_millet,0.159,2487.0,3951.0,8.0
F0232,F0232-P01,maize,0.303,7924.0,13397.0,19.7
F0233,F0233-P01,cotton,0.512,16540.0,33080.0,56.3
F0234,F0234-P02,maize,0.588,15378.0,25998.0,38.2
F0236,F0236-P02,maize,1.545,40407.0,68311.0,100.4
F0236,F0236-P03,pearl_millet,0.134,2096.0,3329.0,6.7
F0237,F0237-P01,pigeon_pea,0.913,22608.0,38453.0,50.2
F0238,F0238-P01,pigeon_pea,0.196,4853.0,8255.0,10.8
F0239,F0239-P02,maize,0.341,8918.0,15077.0,22.2
F0240,F0240-P01,pearl_millet,1.178,18424.0,29269.0,58.9
F0241,F0241-P02,maize,0.325,8500.0,14370.0,21.1
F0242,F0242-P03,soybean,2.528,47726.0,95452.0,113.8
F0243,F0243-P01,pigeon_pea,0.246,6092.0,10361.0,13.5
F0245,F0245-P01,groundnut,1.526,76844.0,153689.0,129.7
F0247,F0247-P01,pearl_millet,0.44,6882.0,10933.0,22.0
F0248,F0248-P01,soybean,0.657,12403.0,24807.0,29.6
F0251,F0251-P01,maize,0.335,8761.0,14812.0,21.8
F0252,F0252-P01,pearl_millet,0.34,5318.0,8448.0,17.0
F0253,F0253-P02,groundnut,0.137,6899.0,13798.0,11.6
F0254,F0254-P01,pearl_millet,0.322,5036.0,8001.0,16.1
F0255,F0255-P01,pearl_millet,0.268,4192.0,6659.0,13.4
F0257,F0257-P02,pearl_millet,0.482,7539.0,11976.0,24.1
F0257,F0257-P01,pearl_millet,0.305,4770.0,7578.0,15.2
F0258,F0258-P02,maize,0.126,3295.0,5571.0,8.2
F0259,F0259-P02,groundnut,0.089,4482.0,8964.0,7.6
F0262,F0262-P01,pearl_millet,0.899,14061.0,22337.0,45.0
F0262,F0262-P02,groundnut,0.066,3324.0,6647.0,5.6
F0263,F0263-P01,maize,3.517,91982.0,155503.0,228.6
F0265,F0265-P02,pearl_millet,0.536,8383.0,13318.0,26.8
F0265,F0265-P01,pearl_millet,0.228,3566.0,5665.0,11.4
F0266,F0266-P01,soybean,0.472,8911.0,17822.0,21.2
F0267,F0267-P01,maize,1.037,27121.0,45850.0,67.4
F0268,F0268-P01,pearl_millet,0.553,8649.0,13740.0,27.7
F0269,F0269-P02,maize,1.008,26363.0,44568.0,65.5
F0270,F0270-P01,pearl_millet,1.75,27371.0,43482.0,87.5
F0273,F0273-P01,soybean,0.941,17765.0,35530.0,42.3
F0274,F0274-P02,maize,0.499,13051.0,22063.0,32.4
F0275,F0275-P02,maize,0.743,19432.0,32851.0,48.3
F0276,F0276-P02,pearl_millet,0.848,13263.0,21070.0,42.4
F0277,F0277-P01,pearl_millet,0.224,3503.0,5566.0,11.2
F0278,F0278-P01,pearl_millet,0.475,7429.0,11802.0,23.8
F0278,F0278-P02,pearl_millet,0.211,3300.0,5243.0,10.5
F0279,F0279-P01,maize,0.593,15509.0,26219.0,38.5
F0280,F0280-P02,soybean,0.735,13876.0,27752.0,33.1
F0281,F0281-P01,cotton,0.309,9982.0,19964.0,34.0
F0282,F0282-P03,pigeon_pea,1.796,44473.0,75643.0,98.8
F0283,F0283-P01,pearl_millet,0.903,14123.0,22437.0,45.1
F0284,F0284-P01,pearl_millet,0.297,4645.0,7379.0,14.8
F0285,F0285-P01,soybean,0.418,7891.0,15783.0,18.8
F0286,F0286-P02,groundnut,0.15,7554.0,15107.0,12.8
F0287,F0287-P01,pigeon_pea,0.275,6810.0,11582.0,15.1
F0288,F0288-P03,maize,4.304,112564.0,190299.0,279.8
F0288,F0288-P02,groundnut,0.275,13848.0,27696.0,23.4
F0288,F0288-P01,pearl_millet,0.875,13685.0,21741.0,43.8
F0289,F0289-P02,pearl_millet,0.495,7742.0,12299.0,24.8
F0290,F0290-P01,pearl_millet,0.403,6303.0,10013.0,20.2
F0291,F0291-P01,maize,1.324,34627.0,58540.0,86.1
F0291,F0291-P03,pearl_millet,0.131,2049.0,3255.0,6.6
F0292,F0292-P03,pearl_millet,1.17,18299.0,29071.0,58.5
F0293,F0293-P01,groundnut,1.308,65867.0,131733.0,111.2
F0294,F0294-P02,maize,1.003,26232.0,44347.0,65.2
F0295,F0295-P01,pearl_millet,0.655,10245.0,16275.0,32.8
F0296,F0296-P01,pearl_millet,0.475,7429.0,11802.0,23.8
F0297,F0297-P02,maize,0.568,14855.0,25114.0,36.9
F0298,F0298-P01,pearl_millet,0.23,3597.0,5715.0,11.5
F0299,F0299-P01,maize,0.374,9781.0,16536.0,24.3
F0300,F0300-P02,maize,0.347,9075.0,15342.0,22.6
F0301,F0301-P01,maize,0.386,10095.0,17067.0,25.1
F0302,F0302-P01,pearl_millet,0.399,6241.0,9914.0,20.0
F0303,F0303-P01,pearl_millet,0.916,14327.0,22760.0,45.8
F0304,F0304-P02,pearl_millet,0.871,13623.0,21642.0,43.5
F0304,F0304-P01,maize,0.193,5048.0,8533.0,12.5
F0305,F0305-P01,pearl_millet,0.395,6178.0,9814.0,19.8
F0307,F0307-P01,pearl_millet,0.501,7836.0,12448.0,25.1
F0308,F0308-P01,soybean,0.277,5229.0,10459.0,12.5
F0309,F0309-P01,maize,0.64,16738.0,28297.0,41.6
F0309,F0309-P03,groundnut,0.057,2870.0,5741.0,4.8
F0313,F0313-P01,pearl_millet,0.802,12544.0,19927.0,40.1
F0314,F0314-P01,maize,0.794,20766.0,35106.0,51.6
F0314,F0314-P02,pearl_millet,1.032,16141.0,25642.0,51.6
F0316,F0316-P02,soybean,0.658,12422.0,24845.0,29.6
F0317,F0317-P01,maize,1.849,48358.0,81753.0,120.2
F0318,F0318-P03,groundnut,2.726,137273.0,274545.0,231.7
F0318,F0318-P05,rice,3.114,69497.0,138905.0,404.8
F0318,F0318-P01,maize,0.575,15038.0,25423.0,37.4
F0319,F0319-P01,groundnut,0.132,6647.0,13294.0,11.2
F0321,F0321-P01,pearl_millet,0.401,6272.0,9964.0,20.1
F0322,F0322-P01,groundnut,0.215,10827.0,21653.0,18.3
F0323,F0323-P01,soybean,0.429,8099.0,16198.0,19.3
F0324,F0324-P01,pearl_millet,0.604,9447.0,15007.0,30.2
F0326,F0326-P01,pearl_millet,2.137,33424.0,53098.0,106.8
F0327,F0327-P01,pearl_millet,0.311,4864.0,7727.0,15.6
F0328,F0328-P02,maize,2.736,71556.0,120971.0,177.8
F0328,F0328-P04,maize,2.257,59028.0,99792.0,146.7
F0328,F0328-P01,pearl_millet,0.455,7116.0,11305.0,22.8
F0329,F0329-P01,maize,0.481,12580.0,21267.0,31.3
F0329,F0329-P02,pearl_millet,0.424,6632.0,10535.0,21.2
F0330,F0330-P02,maize,1.553,40616.0,68665.0,100.9
F0331,F0331-P01,pearl_millet,0.529,8274.0,13144.0,26.5
F0332,F0332-P01,pearl_millet,0.583,9118.0,14486.0,29.1
F0333,F0333-P01,pearl_millet,0.429,6710.0,10659.0,21.4
F0334,F0334-P02,maize,0.271,7088.0,11982.0,17.6
F0335,F0335-P01,pearl_millet,0.28,4379.0,6957.0,14.0
F0336,F0336-P03,groundnut,3.18,160135.0,320269.0,270.3
F0337,F0337-P01,maize,0.23,6015.0,10169.0,15.0
F0338,F0338-P01,soybean,0.328,6192.0,12385.0,14.8
F0339,F0339-P02,pearl_millet,0.381,5959.0,9467.0,19.1
F0340,F0340-P01,pearl_millet,0.557,8712.0,13840.0,27.9
F0341,F0341-P01,pearl_millet,8.529,133398.0,211918.0,426.4
F0341,F0341-P02,groundnut,0.434,21855.0,43710.0,36.9
F0342,F0342-P01,soybean,0.535,10100.0,20200.0,24.1
F0345,F0345-P01,soybean,5.774,109007.0,218013.0,259.8
F0346,F0346-P01,soybean,0.75,14159.0,28318.0,33.8
F0347,F0347-P01,pigeon_pea,0.706,17482.0,29735.0,38.8
F0348,F0348-P01,pearl_millet,0.382,5975.0,9491.0,19.1
F0349,F0349-P01,pearl_millet,0.226,3535.0,5615.0,11.3
F0350,F0350-P01,cotton,0.279,9013.0,18026.0,30.7
F0351,F0351-P02,maize,0.448,11717.0,19808.0,29.1
F0352,F0352-P01,soybean,0.31,5852.0,11705.0,13.9
F0354,F0354-P01,maize,7.071,184931.0,312641.0,459.6
F0355,F0355-P02,groundnut,0.511,25732.0,51465.0,43.4
F0356,F0356-P01,maize,0.95,24846.0,42004.0,61.8
F0356,F0356-P02,groundnut,0.079,3978.0,7956.0,6.7
F0358,F0358-P01,soybean,0.219,4134.0,8269.0,9.9
F0359,F0359-P01,soybean,0.942,17784.0,35568.0,42.4
F0362,F0362-P01,soybean,0.595,11233.0,22466.0,26.8
F0363,F0363-P01,pearl_millet,1.026,16047.0,25493.0,51.3
F0365,F0365-P02,maize,0.453,11848.0,20029.0,29.4
F0365,F0365-P03,maize,0.049,1282.0,2167.0,3.2
F0366,F0366-P02,groundnut,0.223,11230.0,22459.0,19.0
F0367,F0367-P02,maize,0.782,20452.0,34576.0,50.8
F0368,F0368-P01,pearl_millet,0.366,5724.0,9094.0,18.3
F0369,F0369-P02,maize,3.942,103097.0,174294.0,256.2
F0370,F0370-P01,pearl_millet,0.764,11949.0,18983.0,38.2
F0371,F0371-P03,maize,1.523,39832.0,67339.0,99.0
F0371,F0371-P04,pearl_millet,1.348,21083.0,33493.0,67.4
F0372,F0372-P01,soybean,3.343,63112.0,126224.0,150.4
F0372,F0372-P03,groundnut,0.674,33940.0,67881.0,57.3
F0372,F0372-P04,pearl_millet,1.067,16688.0,26512.0,53.3
F0374,F0374-P04,groundnut,1.244,62644.0,125288.0,105.7
F0374,F0374-P01,groundnut,1.184,59622.0,119245.0,100.6
F0375,F0375-P02,maize,0.841,21995.0,37184.0,54.7
F0375,F0375-P03,groundnut,0.322,16215.0,32430.0,27.4
F0376,F0376-P02,groundnut,0.71,35753.0,71507.0,60.3
F0377,F0377-P01,soybean,0.267,5041.0,10081.0,12.0
F0378,F0378-P02,maize,0.465,12161.0,20560.0,30.2
F0379,F0379-P02,pearl_millet,0.353,5521.0,8771.0,17.6
F0381,F0381-P01,pearl_millet,0.239,3738.0,5938.0,11.9
F0382,F0382-P01,maize,0.497,12998.0,21975.0,32.3
F0383,F0383-P01,pearl_millet,0.992,15515.0,24648.0,49.6
F0384,F0384-P01,maize,0.567,14829.0,25070.0,36.9
F0386,F0386-P01,pearl_millet,0.325,5083.0,8075.0,16.2
F0387,F0387-P01,groundnut,0.269,13546.0,27092.0,22.9
F0388,F0388-P01,maize,0.668,17470.0,29535.0,43.4
F0390,F0390-P01,pearl_millet,0.83,12982.0,20623.0,41.5
F0392,F0392-P01,pearl_millet,0.463,7242.0,11504.0,23.2
F0393,F0393-P03,pearl_millet,1.054,16485.0,26188.0,52.7
F0393,F0393-P02,pearl_millet,0.664,10385.0,16498.0,33.2
F0393,F0393-P01,pearl_millet,0.089,1392.0,2211.0,4.5
F0394,F0394-P01,groundnut,0.087,4381.0,8762.0,7.4
F0395,F0395-P01,pigeon_pea,0.867,21469.0,36516.0,47.7
F0398,F0398-P03,groundnut,0.727,36609.0,73219.0,61.8
F0399,F0399-P02,groundnut,0.198,9971.0,19941.0,16.8
F0400,F0400-P02,maize,1.651,43179.0,72998.0,107.3
F0401,F0401-P02,pearl_millet,2.767,43277.0,68751.0,138.3
F0401,F0401-P01,pearl_millet,0.485,7586.0,12051.0,24.2
F0402,F0402-P01,pearl_millet,0.552,8634.0,13715.0,27.6
F0402,F0402-P02,pearl_millet,0.291,4551.0,7230.0,14.5
F0403,F0403-P01,pearl_millet,0.458,7163.0,11380.0,22.9
F0404,F0404-P01,maize,0.648,16947.0,28651.0,42.1
F0405,F0405-P02,pearl_millet,1.691,26448.0,42016.0,84.5
F0405,F0405-P01,groundnut,0.092,4633.0,9266.0,7.8
