farmer_id,plot_id,crop,area_ha,net_return_c2,budget_cost_a2fl,cash_net
F0178,F0178-P02,onion,0.353,37537.0,24879.0,45829.0
F0179,F0179-P01,onion,0.603,64121.0,42499.0,78286.0
F0179,F0179-P02,pigeon_pea,0.466,12649.0,14625.0,18277.0
F0181,F0181-P01,pigeon_pea,1.359,36889.0,42651.0,53302.0
F0181,F0181-P02,onion,1.579,167907.0,111288.0,204999.0
F0183,F0183-P01,maize,0.982,386.0,46992.0,18279.0
F0188,F0188-P01,maize,0.327,129.0,15648.0,6087.0
F0188,F0188-P02,pigeon_pea,3.769,102307.0,118286.0,147825.0
F0188,F0188-P03,onion,0.247,26265.0,17409.0,32068.0
F0188,F0188-P04,maize,0.806,317.0,38570.0,15003.0
F0189,F0189-P01,onion,0.532,56571.0,37495.0,69069.0
F0190,F0190-P01,maize,0.656,11326.0,41089.0,21452.0
F0192,F0192-P01,rice,2.512,-30495.0,140195.0,16849.0
F0193,F0193-P01,maize,4.482,1762.0,214477.0,83428.0
F0193,F0193-P02,maize,1.371,539.0,65606.0,25520.0
F0194,F0194-P01,onion,0.423,44981.0,29813.0,54917.0
F0194,F0194-P02,sorghum,0.169,919.0,5346.0,2657.0
F0195,F0195-P01,soybean,1.775,-18494.0,95348.0,10240.0
F0198,F0198-P01,pigeon_pea,0.616,16721.0,19333.0,24160.0
F0200,F0200-P01,onion,0.035,3722.0,2467.0,4544.0
F0200,F0200-P02,pigeon_pea,0.365,9908.0,11455.0,14316.0
F0201,F0201-P01,onion,0.124,3104.0,19803.0,9258.0
F0202,F0202-P01,maize,0.157,2711.0,9834.0,5134.0
F0202,F0202-P03,maize,1.465,25293.0,91760.0,47908.0
F0203,F0203-P01,soybean,1.142,-11898.0,61345.0,6588.0
F0204,F0204-P01,maize,0.299,118.0,14308.0,5566.0
F0205,F0205-P01,onion,0.968,102934.0,68225.0,125674.0
F0205,F0205-P02,maize,0.497,195.0,23783.0,9251.0
F0207,F0207-P01,rice,0.228,-2768.0,12725.0,1529.0
F0208,F0208-P01,soybean,0.214,-2230.0,11495.0,1235.0
F0211,F0211-P01,rice,0.248,-3011.0,13841.0,1663.0
F0211,F0211-P02,rice,0.119,-1445.0,6641.0,798.0
F0211,F0211-P03,rice,0.674,-8182.0,37616.0,4521.0
F0212,F0212-P01,pigeon_pea,1.116,30293.0,35025.0,43771.0
F0212,F0212-P02,maize,0.058,23.0,2775.0,1080.0
F0213,F0213-P01,onion,0.607,64547.0,42781.0,78806.0
F0215,F0215-P01,soybean,0.37,-3855.0,19875.0,2135.0
F0216,F0216-P01,onion,0.427,45406.0,30095.0,55437.0
F0219,F0219-P01,maize,0.555,218.0,26558.0,10331.0
F0220,F0220-P01,maize,0.073,29.0,3493.0,1359.0
F0220,F0220-P02,maize,0.538,211.0,25745.0,10014.0
F0221,F0221-P01,soybean,0.342,-3563.0,18371.0,1973.0
F0222,F0222-P04,groundnut,2.581,172074.0,265828.0,273730.0
F0227,F0227-P01,rice,0.347,-4212.0,19366.0,2327.0
F0228,F0228-P01,maize,0.256,4420.0,16035.0,8372.0
F0230,F0230-P01,maize,0.887,349.0,42446.0,16511.0
F0233,F0233-P01,rice,0.512,-6216.0,28575.0,3434.0
F0234,F0234-P01,onion,0.329,34985.0,23188.0,42713.0
F0234,F0234-P02,maize,0.588,231.0,28138.0,10945.0
F0236,F0236-P02,soybean,1.545,-16097.0,82993.0,8913.0
F0237,F0237-P01,pigeon_pea,0.913,24783.0,28654.0,35809.0
F0238,F0238-P01,onion,0.196,20842.0,13814.0,25446.0
F0240,F0240-P01,maize,1.178,463.0,56371.0,21927.0
F0242,F0242-P02,rice,0.166,-2015.0,9264.0,1113.0
F0242,F0242-P03,rice,2.528,-30689.0,141088.0,16956.0
F0243,F0243-P01,rice,0.246,-2986.0,13729.0,1650.0
F0245,F0245-P01,onion,1.526,162271.0,107552.0,198118.0
F0245,F0245-P02,maize,1.287,506.0,61587.0,23956.0
F0245,F0245-P03,rice,1.163,-19985.0,82789.0,6618.0
F0247,F0247-P01,rice,0.44,-5341.0,24556.0,2951.0
F0247,F0247-P02,rice,0.124,-1505.0,6920.0,832.0
F0248,F0248-P02,groundnut,0.034,2267.0,3502.0,3606.0
F0251,F0251-P01,soybean,0.335,-3490.0,17995.0,1933.0
F0252,F0252-P01,soybean,0.34,-3542.0,18264.0,1962.0
F0253,F0253-P02,maize,0.137,54.0,6556.0,2550.0
F0254,F0254-P01,pigeon_pea,0.322,8740.0,10106.0,12629.0
F0258,F0258-P02,maize,0.126,2175.0,7892.0,4120.0
F0259,F0259-P02,onion,0.089,2228.0,14213.0,6645.0
F0262,F0262-P01,rice,0.899,-10914.0,50173.0,6030.0
F0262,F0262-P02,rice,0.066,-801.0,3683.0,443.0
F0266,F0266-P01,rice,0.472,-5730.0,26342.0,3166.0
F0267,F0267-P01,maize,1.037,17904.0,64952.0,33912.0
F0268,F0268-P01,rice,0.553,-6713.0,30863.0,3709.0
F0269,F0269-P02,maize,1.008,17403.0,63136.0,32963.0
F0275,F0275-P02,rice,0.743,-9020.0,41467.0,4983.0
F0277,F0277-P01,rice,0.224,-2719.0,12501.0,1502.0
F0278,F0278-P01,maize,0.475,8201.0,29752.0,15533.0
F0279,F0279-P02,groundnut,0.275,18334.0,28323.0,29165.0
F0280,F0280-P01,onion,0.201,21374.0,14166.0,26095.0
F0280,F0280-P02,maize,0.735,289.0,35172.0,13681.0
F0281,F0281-P02,groundnut,0.353,23534.0,36357.0,37438.0
F0282,F0282-P01,groundnut,0.117,7800.0,12050.0,12409.0
F0284,F0284-P01,rice,0.297,-3606.0,16576.0,1992.0
F0285,F0285-P01,maize,0.418,164.0,20003.0,7781.0
F0286,F0286-P02,onion,0.15,15951.0,10572.0,19474.0
F0288,F0288-P03,maize,4.304,74308.0,269581.0,140748.0
F0290,F0290-P02,maize,0.021,363.0,1315.0,687.0
F0291,F0291-P02,onion,0.606,15172.0,96778.0,45245.0
F0293,F0293-P01,groundnut,1.308,87204.0,134716.0,138721.0
F0293,F0293-P03,rice,0.159,-1930.0,8874.0,1066.0
F0294,F0294-P01,rice,0.701,-8510.0,39123.0,4702.0
F0294,F0294-P03,groundnut,0.088,5867.0,9063.0,9333.0
F0296,F0296-P01,cotton,0.475,5369.0,27600.0,15920.0
F0297,F0297-P02,rice,0.568,-6895.0,31700.0,3810.0
F0299,F0299-P01,soybean,0.374,-3897.0,20090.0,2158.0
F0300,F0300-P02,maize,0.347,5991.0,21734.0,11348.0
F0304,F0304-P01,onion,0.193,4832.0,30822.0,14410.0
F0305,F0305-P01,rice,0.395,-4795.0,22045.0,2649.0
F0309,F0309-P01,onion,0.64,68056.0,45107.0,83090.0
F0309,F0309-P03,onion,0.057,6061.0,4017.0,7400.0
F0313,F0313-P01,maize,0.802,315.0,38378.0,14928.0
F0314,F0314-P01,maize,0.794,13708.0,49732.0,25965.0
F0316,F0316-P01,rice,0.294,-3569.0,16408.0,1972.0
F0316,F0316-P02,rice,0.658,-7988.0,36723.0,4413.0
F0317,F0317-P01,soybean,1.849,-19265.0,99323.0,10667.0
F0317,F0317-P02,soybean,1.642,-17108.0,88203.0,9473.0
F0318,F0318-P01,rice,0.575,-6980.0,32091.0,3857.0
F0318,F0318-P02,rice,2.307,-28006.0,128754.0,15474.0
F0318,F0318-P03,groundnut,2.726,181741.0,280762.0,289108.0
F0318,F0318-P05,rice,3.114,-37803.0,173792.0,20886.0
F0319,F0319-P02,rice,0.177,-2149.0,9878.0,1187.0
F0321,F0321-P01,soybean,0.401,-4178.0,21541.0,2313.0
F0322,F0322-P02,groundnut,0.31,20668.0,31928.0,32877.0
F0323,F0323-P01,pigeon_pea,0.429,11645.0,13464.0,16826.0
F0328,F0328-P02,onion,2.736,68498.0,436936.0,204272.0
F0328,F0328-P04,soybean,2.257,-23515.0,121239.0,13021.0
F0329,F0329-P01,maize,0.481,8304.0,30127.0,15730.0
F0330,F0330-P01,groundnut,1.144,76270.0,117825.0,121328.0
F0334,F0334-P02,maize,0.271,4679.0,16974.0,8862.0
F0336,F0336-P03,groundnut,3.18,212009.0,327521.0,337257.0
F0337,F0337-P02,groundnut,0.149,9934.0,15346.0,15802.0
F0339,F0339-P01,onion,0.132,3305.0,21080.0,9855.0
F0340,F0340-P01,rice,0.557,-6762.0,31086.0,3736.0
F0341,F0341-P02,groundnut,0.434,28935.0,44699.0,46028.0
F0342,F0342-P01,pigeon_pea,0.535,14522.0,16790.0,20983.0
F0345,F0345-P01,soybean,5.774,-60159.0,310162.0,33311.0
F0346,F0346-P01,maize,0.75,12949.0,46976.0,24526.0
F0348,F0348-P01,rice,0.382,-4637.0,21319.0,2562.0
F0350,F0350-P02,rice,0.26,-3156.0,14511.0,1744.0
F0351,F0351-P01,rice,0.363,-4407.0,20259.0,2435.0
F0351,F0351-P02,rice,0.448,-5439.0,25003.0,3005.0
F0352,F0352-P01,soybean,0.31,-3230.0,16652.0,1788.0
F0354,F0354-P01,onion,7.071,751911.0,498364.0,918016.0
F0354,F0354-P02,maize,2.105,827.0,100731.0,39183.0
F0355,F0355-P01,rice,1.041,-12637.0,58098.0,6982.0
F0355,F0355-P02,rice,0.511,-6203.0,28519.0,3427.0
F0356,F0356-P01,maize,0.95,16402.0,59503.0,31067.0
F0356,F0356-P02,maize,0.079,1364.0,4948.0,2583.0
F0358,F0358-P02,onion,0.111,11803.0,7823.0,14411.0
F0359,F0359-P01,pigeon_pea,0.942,25570.0,29564.0,36947.0
F0362,F0362-P01,soybean,0.595,-6199.0,31962.0,3433.0
F0363,F0363-P01,rice,1.026,-12455.0,57261.0,6882.0
F0365,F0365-P02,soybean,0.453,-4720.0,24334.0,2613.0
F0365,F0365-P03,onion,0.049,1227.0,7825.0,3658.0
F0366,F0366-P02,maize,0.223,3850.0,13968.0,7292.0
F0367,F0367-P01,pigeon_pea,0.276,7492.0,8662.0,10825.0
F0367,F0367-P02,onion,0.782,83156.0,55115.0,101526.0
F0368,F0368-P01,pigeon_pea,0.366,9935.0,11487.0,14355.0
F0370,F0370-P01,maize,0.764,300.0,36560.0,14221.0
F0371,F0371-P01,maize,0.209,3608.0,13091.0,6835.0
F0371,F0371-P03,maize,1.523,26294.0,95393.0,49805.0
F0372,F0372-P01,soybean,3.343,-34830.0,179576.0,19286.0
F0372,F0372-P03,soybean,0.674,-7022.0,36205.0,3888.0
F0374,F0374-P01,maize,1.184,20441.0,74160.0,38719.0
F0374,F0374-P04,maize,1.244,21477.0,77918.0,40681.0
F0375,F0375-P02,maize,0.841,14520.0,52676.0,27502.0
F0375,F0375-P03,maize,0.322,5559.0,20168.0,10530.0
F0376,F0376-P02,maize,0.71,12258.0,44471.0,23218.0
F0377,F0377-P01,rice,0.267,-3241.0,14901.0,1791.0
F0379,F0379-P01,maize,0.069,27.0,3302.0,1284.0
F0379,F0379-P02,pigeon_pea,0.353,9582.0,11079.0,13845.0
F0381,F0381-P01,pigeon_pea,0.239,6488.0,7501.0,9374.0
F0382,F0382-P01,soybean,0.497,-5178.0,26697.0,2867.0
F0387,F0387-P01,groundnut,0.269,17934.0,27705.0,28529.0
F0387,F0387-P03,rice,0.512,-6216.0,28575.0,3434.0
F0388,F0388-P01,maize,0.668,11533.0,41840.0,21845.0
F0388,F0388-P02,maize,0.156,2693.0,9771.0,5101.0
F0392,F0392-P01,maize,0.463,7994.0,29000.0,15141.0
F0394,F0394-P01,rice,0.087,-1056.0,4855.0,584.0
F0394,F0394-P02,rice,0.29,-3521.0,16185.0,1945.0
F0398,F0398-P01,onion,0.946,100595.0,66674.0,122818.0
F0398,F0398-P02,sorghum,0.422,2294.0,13348.0,6633.0
F0398,F0398-P03,maize,0.727,286.0,34789.0,13532.0
F0399,F0399-P02,maize,0.198,3418.0,12402.0,6475.0
F0400,F0400-P02,rice,1.651,-20043.0,92142.0,11074.0
F0403,F0403-P01,soybean,0.458,-4772.0,24602.0,2642.0
F0404,F0404-P02,groundnut,0.206,13734.0,21217.0,21847.0
F0405,F0405-P01,maize,0.092,1588.0,5762.0,3009.0
F0405,F0405-P02,maize,1.691,29195.0,105916.0,55299.0
F0406,F0406-P01,rice,0.216,-2622.0,12055.0,1449.0
F0406,F0406-P02,rice,0.26,-3156.0,14511.0,1744.0
F0408,F0408-P01,soybean,1.228,-12794.0,65964.0,7084.0
F0408,F0408-P02,soybean,1.023,-10659.0,54952.0,5902.0
F0412,F0412-P02,soybean,0.122,-1271.0,6553.0,704.0
F0413,F0413-P02,groundnut,0.612,40802.0,63032.0,64906.0
F0414,F0414-P01,soybean,1.171,-12201.0,62903.0,6756.0
F0415,F0415-P01,maize,0.096,1657.0,6013.0,3139.0
F0415,F0415-P02,maize,1.127,19457.0,70590.0,36855.0
F0417,F0417-P02,soybean,2.506,-26110.0,134615.0,14457.0
F0418,F0418-P02,rice,0.385,-4674.0,21487.0,2582.0
F0420,F0420-P01,soybean,0.908,-9460.0,48775.0,5238.0
F0423,F0423-P01,pigeon_pea,1.727,46878.0,54200.0,67735.0
F0424,F0424-P02,maize,0.044,760.0,2756.0,1439.0
F0425,F0425-P01,onion,0.282,29987.0,19875.0,36612.0
F0425,F0425-P02,sorghum,0.221,1201.0,6990.0,3474.0
F0428,F0428-P02,maize,1.685,29091.0,105540.0,55102.0
F0428,F0428-P04,maize,1.901,32820.0,119069.0,62166.0
F0430,F0430-P01,maize,1.762,30421.0,110363.0,57621.0
F0431,F0431-P01,maize,0.374,6457.0,23425.0,12230.0
F0431,F0431-P02,maize,1.05,18128.0,65767.0,34337.0
F0433,F0433-P01,maize,0.621,244.0,29717.0,11559.0
F0435,F0435-P01,rice,0.636,-7721.0,35495.0,4266.0
F0436,F0436-P01,pigeon_pea,0.977,26520.0,30662.0,38319.0
F0438,F0438-P01,maize,0.121,2089.0,7579.0,3957.0
F0438,F0438-P02,maize,0.71,12258.0,44471.0,23218.0
F0440,F0440-P01,maize,0.435,171.0,20816.0,8097.0
F0443,F0443-P01,onion,0.043,4573.0,3031.0,5583.0
F0443,F0443-P02,pigeon_pea,0.239,6488.0,7501.0,9374.0
F0445,F0445-P01,rice,0.144,-1748.0,8037.0,966.0
F0445,F0445-P02,groundnut,0.367,24468.0,37799.0,38922.0
F0448,F0448-P01,maize,1.367,23601.0,85622.0,44703.0
F0451,F0451-P01,maize,0.418,164.0,20003.0,7781.0
F0451,F0451-P02,onion,0.156,16589.0,10995.0,20253.0
F0453,F0453-P01,onion,3.85,409398.0,271348.0,499839.0
F0453,F0453-P02,maize,0.86,338.0,41154.0,16008.0
F0459,F0459-P01,maize,0.457,180.0,21869.0,8507.0
F0459,F0459-P02,maize,0.326,128.0,15600.0,6068.0
F0460,F0460-P02,groundnut,0.384,25601.0,39550.0,40725.0
F0460,F0460-P03,groundnut,0.256,17067.0,26366.0,27150.0
F0465,F0465-P01,soybean,0.416,-4334.0,22346.0,2400.0
F0470,F0470-P01,maize,1.896,745.0,90729.0,35292.0
F0471,F0471-P01,soybean,0.401,-4178.0,21541.0,2313.0
F0472,F0472-P02,groundnut,2.131,142073.0,219480.0,226005.0
F0478,F0478-P01,maize,0.966,16678.0,60505.0,31590.0
F0478,F0478-P03,maize,1.245,21495.0,77981.0,40714.0
F0479,F0479-P01,rice,0.358,-4346.0,19980.0,2401.0
F0481,F0481-P02,groundnut,0.073,4867.0,7519.0,7742.0
F0483,F0483-P02,soybean,0.288,-3001.0,15470.0,1662.0
F0484,F0484-P01,soybean,1.054,-10981.0,56618.0,6081.0
F0486,F0486-P01,rice,0.389,-4722.0,21710.0,2609.0
F0486,F0486-P02,groundnut,0.041,2733.0,4223.0,4348.0
F0488,F0488-P02,rice,0.406,-4929.0,22659.0,2723.0
F0489,F0489-P01,rice,0.434,-5269.0,24222.0,2911.0
F0490,F0490-P01,maize,0.236,4074.0,14782.0,7718.0
F0491,F0491-P01,maize,0.629,247.0,30100.0,11708.0
F0492,F0492-P01,onion,0.292,31050.0,20580.0,37910.0
F0492,F0492-P02,maize,0.742,292.0,35507.0,13812.0
F0493,F0493-P01,rice,0.37,-4492.0,20650.0,2482.0
F0496,F0496-P01,maize,2.629,1033.0,125806.0,48936.0
F0496,F0496-P02,onion,0.21,22331.0,14801.0,27264.0
F0496,F0496-P03,onion,0.885,94108.0,62375.0,114898.0
F0497,F0497-P01,onion,0.037,3934.0,2608.0,4804.0
F0499,F0499-P02,onion,0.046,1152.0,7346.0,3434.0
